Name,Rating,Code,CMR Price,Event Price,Full Price,nombre_comercial,marca,modelo,tipo,género,horma,material,material_del_forro,material_de_la_suela,tipo_de_caña,,temporada,material_del_interior,hecho_en,transpirabilidad_de_la_tela,altura_de_la_plataforma,tipo_de_ajuste,forma_de_la_punta,altura_del_tacón,tipo_de_suela,registro_sic
Tenis Nike para Mujer Moda Nike Blazer Low '77 Jumbo | Zapatillas Nike para Mujer Blazer Low 77,(0),Código: 72833000,384.990,439.990,549.990,Blazer,Nike,DQ1470-102-WHT,Tenis moda,Mujer,Normal,Cuero,Poliéster,Caucho,No aplica,,,,,,,,,,,
Tenis Nike para Mujer Moda Nike Blazer Low '77 | Zapatillas Nike para Mujer Blazer Low 77,(0),Código: 72832989,339.490,387.990,484.950,Blazer,Nike,DC4769-101-WHT,Tenis moda,Mujer,Normal,Cuero,Poliéster,Caucho,No aplica,,,,,,,,,,,
Tenis moda New Balance 500 Mujer,4.4 (8),Código: 66428890,209.990,239.990,299.990,500,New Balance,GW500MA2,Tenis moda,Mujer,Normal,Sintético,Textil,Caucho,,,Toda temporada,,,,,,,,,
Tenis New Balance para Mujer Moda 550,(0),Código: 72802544,,,769.990,550,New Balance,BBW550NP,Tenis moda,Mujer,Normal,Cuero,Textil,Caucho,,,Toda temporada,,,,,,,,,
Tenis Skechers para Mujer Moda Go Walk Air 2.0,5 (1),Código: 72778345,227.890,265.890,379.900,Go Walk,Skechers,124362BKLB,Tenis moda,Mujer,Normal,Sintético,Poliéster,Goma,No aplica,,,,,,,,,,,
Tenis Adidas para Mujer Moda Court Platform,4.7 (418),Código: 72889168,,,359.990,Court Platform,Adidas,ID4523,Tenis moda,Mujer,Normal,Sintético,Sintético,Caucho,,,Toda temporada,,,,,,,,,
Tenis Nike Hombre Cross Training Legend Essential 3 Nn,4.6 (18),Código: 56488706,,,489.990,Legend,Nike,DM1120-002-BLK,Tenis deportivos,Hombre,Normal,Tela,Sintético,Caucho,,,Toda temporada,,,,,,,,,
Tenis Adidas para Hombre Moda VL Court 3.0,4.8 (57),Código: 72888871,,,329.990,VL Court 3.0,Adidas,ID6285,Tenis moda,Hombre,Normal,Cuero,Textil,Caucho,,,Toda temporada,,,,,,,,,
Tenis Skechers Mujer - Zapatos Skechers Dama. Tenis cómodos negro Skechers para mujer. Zapatillas moda Go Walk Glide,5 (1),Código: 55996860,,,,Go Walk,Skechers,124811BKW,Tenis moda,Mujer,Normal,Sintético,Poliéster,Goma,,,Toda temporada,,,,,,,,,
Tenis Adidas Mujer Moda Alphaedge +,4.3 (3),Código: 72712557,265.990,303.990,379.990,Alphaedge +,Adidas,IF7283,Tenis moda,Mujer,Normal,Tela,Textil,Caucho,,,Toda temporada,,,,,,,,,
Tenis Reebok Mujer Moda Club C 85,4.8 (5),Código: 72714000,244.890,279.890,349.900,Club C 85,Reebok,100033091,Tenis moda,Mujer,Normal,Cuero,Sintético,Goma,,,Toda temporada,,,,,,,,,
Tenis Under Armour Mujer Running Charged Pursuit 3,4.7 (40),Código: 42790421,251.890,287.890,359.900,Phade RN 2,Under Armour,3024880-001,Tenis,Hombre,Normal,Tela,Textil,Sintético,,,Toda temporada,,,,,,,,,
Tenis Sybilla para Mujer Moda Bersynew,4.7 (6),Código: 882994532,99.990,,,Bersynew,Sybilla,Bersynew Bl,Tenis moda,Mujer,Normal,Sintético,Poliéster,Sintético,,,Toda temporada,,,,,,,,,
Tenis Skechers para Mujer Moda Ultra Flex 3 Cls Ch,4.7 (3),Código: 72820757,191.990,199.990,319.990,Ultraflex,Skechers,149855BKW,Tenis moda,Mujer,Normal,Sintético,Poliéster,Goma,No aplica,,,,,,,,,,,
Tenis Fratta Hombre Running Zoenty,4.6 (26),Código: 882678778,77.990,90.990,129.990,Zoenty,Fratta,ZOENTY BL,Tenis deportivos,Hombre,Normal,Sintético,Sintético,Sintético,,,Toda temporada,,,,,,,,,
Tenis Skechers para Mujer Moda Ultra Flex 3 Cls Ch,5 (2),Código: 72820771,191.990,199.990,319.990,Ultraflex,Skechers,149855NVY,Tenis moda,Mujer,Normal,Sintético,Poliéster,Goma,No aplica,,,,,,,,,,,
Tenis New Balance Hombre Running 430,4.8 (10),Código: 66428926,,,,430,New Balance,ME430CR2,Tenis deportivos,Hombre,Normal,Tela,Textil,Caucho,,,Toda temporada,,,,,,,,,
Tenis Skechers para Mujer Moda Glide Stepswift Slig,5 (1),Código: 72791650,233.990,272.990,389.990,Glide Stepswift Slig,Skechers,149968ROS,Tenis moda,Mujer,Normal,Sintético,,Goma,,,Toda temporada,Poliéster,,,,,,,,
Tenis Adidas para Hombre Moda VL Court 3.0,4.8 (72),Código: 72888850,,,279.990,VL Court 3.0,Adidas,ID6277,Tenis moda,Hombre,Normal,Cuero,Textil,Caucho,,,Toda temporada,,,,,,,,,
Tenis Diadora Mujer Moda Salgreen3,4.8 (5),Código: 882763705,,,,Salgreen3,Diadora,W SALGREEN3 RS,Tenis moda,Mujer,Normal,Sintético,Sintético,Sintético,,,Toda temporada,,,,,,,,,
Tenis moda para Hombre Bentinino Newboat | Tenis de moda con suela blanca Newboat,5 (3),Código: 882873801,,,,Bentinino,Newboat,BENTININO2 CA,Tenis moda,Hombre,Normal,Sintético,,Caucho,No aplica,,,Sintético,,,,,,,,
Tenis Reebok Mujer Running Floatride Energy 5,5 (2),Código: 72714028,349.890,399.890,499.900,Floatride Energy 5,Reebok,100025278,Tenis deportivos,Mujer,Normal,Tela,Sintético,Goma,,,Toda temporada,,,,,,,,,
Tenis Skechers para Mujer Moda Glide Stepswift Slig,4.8 (4),Código: 72791641,233.990,272.990,389.990,Glide Stepswift Slig,Skechers,149968BLCL,Tenis moda,Mujer,Normal,Sintético,,Goma,,,Toda temporada,Poliéster,,,,,,,,
Tenis Diadora Mujer Moda Sildan2,5 (4),Código: 882814727,149.990,174.990,249.990,Sildan2,Diadora,W SILDAN2 MIS,Tenis moda,Mujer,Normal,Sintético,Sintético,Sintético,,,Toda temporada,,,,,,,,,
Tenis New Balance Mujer Running M1,4.5 (2),Código: 62387933,368.190,420.790,525.990,M1,New Balance,WROAVQM1,Tenis deportivos,Mujer,Normal,Tela,,Caucho,,,Toda temporada,,Vietnam,,,,,,,
Tenis New Balance Mujer Moda 574,4.8 (74),Código: 64218048,390.590,446.390,557.990,574,New Balance,WL574BI2,Tenis moda,Mujer,Normal,Cuero,Textil,Caucho,,,Toda temporada,,,,,,,,,
Tenis Nike Hombre Moda Air Max SC,4.7 (367),Código: 18841130,,,469.950,Air Max,Nike,CW4555-002-BLK,Tenis moda,Hombre,Normal,Sintético,Sintético,Goma,Baja,,,,,,,,,,,
Tenis Fratta para Mujer Running Sabi2,4.4 (19),Código: 883014804,89.990,104.990,149.990,Sabi2,Fratta,Sabi2 Gr,Tenis,Mujer,Normal,Tela,Poliéster,Goma,,,Toda temporada,,,,,,,,,
Tenis Reebok Mujer Moda Club C 85,4.9 (22),Código: 72714007,244.890,279.890,349.900,Club C 85,Reebok,100033090,Tenis moda,Mujer,Normal,Cuero,Sintético,Goma,,,Toda temporada,,,,,,,,,
Tenis Adidas para Mujer Tenis Racer TR23,4.8 (127),Código: 72712491,351.990,,,Tenis Racer TR23,Adidas,IF0042,Tenis moda,Mujer,Normal,Tela,Textil,Caucho,,,Toda temporada,,,,,,,,,
Tenis Skechers para Mujer Moda Dluxfitness Brightba,(0),Código: 72791570,221.990,258.990,369.990,Dluxfitness Brightba,Skechers,149834WBKB,Tenis moda,Mujer,Normal,Sintético,,Goma,,,Toda temporada,Poliéster,,,,,,,,
Tenis Adidas Unisex Running Response Runner,4.8 (1330),Código: 72864306,,,199.990,Response Runner,Adidas,Ig1395,Tenis,Unisex,Normal,Tela,Textil,Caucho,,,Toda temporada,,,,,,,,,
Tenis Moda Skechers Summits Hombre,4.8 (29),Código: 39304056,,,254.990,Summits,Skechers,52811BBK,Tenis moda,Hombre,Normal,Sintético,Poliéster,Sintético,,,Toda temporada,,,,,,,,,
Tenis Skechers para Mujer Moda Dluxfitness Modestfl,4.8 (8),Código: 72791587,215.990,251.990,359.990,Dluxfitness Modestfl,Skechers,149847LPMT,Tenis moda,Mujer,Normal,Cuero,,Goma,,,Toda temporada,Poliéster,,,,,,,,
Tenis Adidas para Mujer Running Duramo Speed,(0),Código: 72777226,405.990,463.990,579.990,Duramo Speed,Adidas,IE9687,Tenis deportivos,Mujer,Normal,Tela,Textil,Caucho,,,Toda temporada,,,,,,,,,
Tenis Diadora para Hombre Running Snipec | Zapatillas para hombre Diadora,4.8 (4),Código: 882861332,131.990,153.990,219.990,Snipec,Diadora,SNIPEC5224,Tenis deportivos,Hombre,Normal,Tela,,Goma,No aplica,,,Sintético,,,,,,,,
Tenis Skechers para Mujer Moda Dluxfitness Brightba,4.8 (4),Código: 72791563,221.990,258.990,369.990,Dluxfitness Brightba,Skechers,149834NVMT,Tenis moda,Mujer,Normal,Sintético,,Goma,,,Toda temporada,Poliéster,,,,,,,,
Tenis Fratta Hombre Running Vexel2,4.8 (13),Código: 882758792,77.990,90.990,129.990,Vexel2,Fratta,VEXEL2 AZ,Tenis deportivos,Hombre,Normal,Sintético,Sintético,Sintético,,,Toda temporada,,,,,,,,,
Tenis Diadora para Hombre Moda Bamtelo,5 (1),Código: 883015932,,,229.990,Bamtelo,Diadora,Bamtelo Bl,Tenis moda,Hombre,Normal,Cuero,Malla (nylon),Caucho,,,Toda temporada,,,,,,,,,
Tenis Skechers para Mujer Moda Flexcomfort Freshene,5 (1),Código: 72836663,,,299.990,Flexcomfort Freshene,Skechers,149886WBL,Tenis moda,Mujer,Normal,Sintético,Poliéster,Goma,,,Toda temporada,,,,,,,,,
Tenis Adidas para Mujer Running Duramo,4.7 (316),Código: 72864275,,,299.990,Duramo,Adidas,Ie7991,Tenis,Mujer,Normal,Tela,Textil,Caucho,,,Toda temporada,,,,,,,,,
Tenis Diadora para Hombre Moda James7,5 (2),Código: 883015900,,,159.990,James,Diadora,James7 Ve,Tenis moda,Hombre,Normal,Sintético,Malla (nylon),Caucho,,,Toda temporada,,,,,,,,,
Tenis Skechers para Mujer Moda Summits,4.9 (32),Código: 72807851,179.990,199.990,254.900,Summits,Skechers,12980BKTQ,Tenis moda,Mujer,Normal,Sintético,Poliéster,Goma,No aplica,,,,,,,,,,,
Tenis Fratta Hombre Running Vexel2,4.6 (152),Código: 882758873,77.990,90.990,129.990,Vexel2,Fratta,VEXEL2 NE,Tenis deportivos,Hombre,Normal,Sintético,,Sintético,,,Toda temporada,Sintético,,,,,,,,
Tenis Under Armour para Mujer Running Phade RN 2 | Zapatillas Under Armour Phade RN 2,4.5 (10),Código: 72763428,188.990,215.990,269.990,Phade RN 2,Under Armour,3024891-003,Tenis,Mujer,Normal,Tela,Textil,Sintético,,,,,,Sí,,,,,,
Tenis Skechers para Mujer Moda Dluxfitness Brightba,5 (2),Código: 72791554,221.990,258.990,369.990,Dluxfitness Brightba,Skechers,149834BKMT,Tenis moda,Mujer,Normal,Sintético,,Goma,,,Toda temporada,Poliéster,,,,,,,,
Tenis Skechers para Mujer Moda Summits Free Classics,(0),Código: 72890302,179.990,199.990,279.900,Summits,Skechers,149535BBK,Tenis moda,Mujer,Normal,Sintético,Poliéster,Goma,,,Toda temporada,,,,,,,,,
Tenis Adidas Hombre Moda Alphaedge +,5 (18),Código: 72712583,,,419.950,Alphaedge +,Adidas,IF7295,Tenis moda,Hombre,Normal,Tela,Textil,Caucho,,,Toda temporada,,,,,,,,,
Tenis Diadora Mujer Moda Sildan,4.8 (18),Código: 882763707,143.990,167.990,239.990,Sildan,Diadora,W SILDAN BL,Tenis moda,Mujer,,Sintético,,Sintético,,,Toda temporada,Sintético,China,,,,,,,
Tenis Fratta para Mujer Running Sternum,4.7 (3),Código: 883014798,89.990,104.990,149.990,Sternum,Fratta,Sternum Ne,Tenis,Mujer,Normal,Sintético,Poliéster,Goma,,,Toda temporada,,,,,,,,,
Tenis Deportivos Reebok para Mujer de Running Zig Dynamica,4.9 (7),Código: 72790795,272.990,311.990,389.990,Zig Dynamica,Reebok,100033399,Tenis deportivos,Mujer,Normal,Sintético,Sintético,Goma,,,,,,Sí,,,,,,
Tenis Nike Air Max Sc Bpv Niño Velcro,4.7 (6),Código: 54793540,279.990,319.990,399.950,Air Max,Nike,CZ5356-113-WHT,Tenis moda,Niño,Normal,Sintético,Textil,Sintético,,,Toda temporada,,,,,,,,,
Tenis Adidas para Mujer Moda VL Court 3.0,4.8 (52),Código: 72888897,,,329.990,VL Court 3.0,Adidas,ID8796,Tenis moda,Mujer,Normal,Cuero,Textil,Caucho,,,Toda temporada,,,,,,,,,
Tenis Moda Bearcliff Atrillon Hombre,4.6 (126),Código: 882678628,79.990,,,Atrillon,Bearcliff,ATRILLON4 NE1,Tenis moda,Hombre,Normal,Tela,,Goma,,,Toda temporada,Sintético,,,,,,,,
Tenis Nike para Mujer Running Downshifter 12,4.7 (88),Código: 60558652,,,399.950,Downshifter,Nike,DD9294-001-BLK,Tenis deportivos,Mujer,Normal,Tela,Textil,Caucho,,,Toda temporada,,,,,,,,,
Tenis Moda Sybilla Begu Mujer,4.3 (119),Código: 882431264,99.990,,,Begu,Sybilla,BEGU2 BL,Tenis moda,Mujer,Normal,Sintético,,Sintético,,,,Sintético,,,,,,,,
Tenis Skechers para Mujer Moda Skech Litepro Lightr,4.8 (10),Código: 72806316,,,279.990,Skech Litepro Lightr,Skechers,149944BKW,Tenis moda,Mujer,Normal,Sintético,Poliéster,Goma,No aplica,,,,,,,,,,,
Tenis moda Skechers Skech-Airdynamight Mujer,4.9 (24),Código: 72837136,,,269.990,Dynamight,Skechers,149669WMNT,Tenis moda,Mujer,Normal,Sintético,,Goma,,,Toda temporada,Poliéster,,,,,,,,
Tenis Skechers para Mujer Moda Dluxfitness Modestfl,5 (3),Código: 72791580,215.990,251.990,359.990,Dluxfitness Modestfl,Skechers,149847BKMT,Tenis moda,Mujer,Normal,Cuero,,Goma,,,Toda temporada,Poliéster,,,,,,,,
Tenis Adidas para Hombre Running Tenis Duramo Rc,4.7 (773),Código: 72094059,,,299.990,Tenis Duramo Rc,Adidas,ID2701,Tenis deportivos,Hombre,Normal,Tela,Textil,Caucho,,,Toda temporada,,,,,,,,,
Tenis Bearcliff para Hombre Moda Acreta,4.5 (2),Código: 883028998,,,139.990,Acreta,Bearcliff,Acreta Bl,Tenis moda,Hombre,Normal,Sintético,Malla (nylon),Caucho,,,Toda temporada,,,,,,,,,
Tenis Fratta para Hombre Running Soroll,5 (2),Código: 883014528,77.990,90.990,129.990,Soroll,Fratta,Soroll Mu,Tenis,Hombre,Normal,Tela,Malla (nylon),Sintético,,,Toda temporada,,,,,,,,,
Tenis Skechers Hombre Moda Go Walk Glide,5 (1),Código: 71008395,227.990,265.990,379.990,Go Walk,Skechers,216225GRY,Tenis moda,Hombre,Normal,Sintético,Poliéster,Goma,,,Toda temporada,,,,,,,,,
Tenis Adidas para Hombre Running Duramo Speed | Tenis de Running Color Negro,4.8 (212),Código: 72801627,,,539.950,Duramo Speed,Adidas,IE9675,Tenis,Hombre,Normal,Tela,,Caucho,,,,Textil,,Sí,,,,,,
Tenis Fratta para Mujer Running Sabi2,4.9 (10),Código: 882814814,89.990,104.990,149.990,Sabi2,Fratta,Sabi2 Rs,Tenis,Mujer,Normal,Tela,Poliéster,Goma,,,Toda temporada,,,,,,,,,
Tenis Asics Mujer Moda Japan S,4.8 (80),Código: 69745050,251.990,287.990,359.990,Japan,Asics,1202A024.108,Tenis moda,Mujer,Normal,Sintético,Poliéster,Caucho,,,Toda temporada,,,,,,,,,
Tenis Puma para Hombre Lifestyle Up,5 (8),Código: 72794163,,,329.900,Up,Puma,372605 35,Tenis,Hombre,Normal,Sintético,,Caucho,,,,Textil,,No,,,,,,
Tenis Skechers para Hombre Moda Aircushioning Binson,5 (2),Código: 72728668,179.990,209.990,299.990,Aircushioning Binson,Skechers,232560BKW,Tenis moda,Hombre,Normal,Sintético,Poliéster,Goma,,,,,,,Sin plataforma,,,,,
Tenis Nike para Hombre Running Revolution 7 | Zapatillas Nike Revolution 7,(0),Código: 72832942,,,344.950,Revolution 7,Nike,FB2207-002-BLK,Tenis deportivos,Hombre,Normal,Tela,Poliéster,Caucho,,,Toda temporada,,,,,,,,,
Tenis Fratta para Hombre Running Rollinarew,(0),Código: 882816245,77.990,90.990,129.990,Rollinarew,Fratta,Rollinarew Ol,Tenis,Hombre,Normal,Tela,Malla (nylon),Sintético,,,,,,Sí,,,,,,
Tenis Adidas para Mujer Tenis Racer TR23,4.8 (30),Código: 72712485,,,,Tenis Racer TR23,Adidas,IF0041,Tenis moda,Mujer,Normal,Tela,Textil,Caucho,,,Toda temporada,,,,,,,,,
Tenis Diadora para Hombre Moda Nextgen,4.2 (6),Código: 883016000,,,179.990,Nextgen,Diadora,Nextgen Ol,Tenis moda,Hombre,Normal,Sintético,Malla (nylon),Goma,,,Toda temporada,,,,,,,,,
Tenis Disney para Mujer Moda Becourtmin2,4.6 (8),Código: 883029575,,,129.990,Becourtmin,Disney,Becourtmin2 Bl1,Tenis moda,Mujer,Normal,Sintético,Poliéster,Goma,,,Toda temporada,,,,,,,,,
Tenis Nike Mujer Moda Air Max System,4.8 (24),Código: 70530288,377.990,431.990,539.950,Air Max,Nike,DM9538-001-BLK,Tenis moda,Mujer,Normal,Cuero,Sintético,Goma,,,Toda temporada,,,,,,,,,
Tenis Skechers para Mujer Moda Flex Appeal 4.0 Brilliantvie,5 (12),Código: 72738992,167.990,195.990,279.990,Flex Appeal 4.0 Brilliantvie,Skechers,149303MVE,Tenis moda,Mujer,Normal,Tela,Poliéster,Goma,,,,,,,Sin plataforma,,,,,
Tenis Nike para Mujer Downshifter 12,(0),Código: 72890741,,,318.990,Downshifter,Nike,DD9294-009-BLK,Tenis deportivos,Mujer,Normal,Tela,Poliéster,Caucho,,,Toda temporada,,,,,,,,,
Tenis Skechers para Mujer Dlites Arch Fit-Bett Tenis de Moda Skechers,4.9 (8),Código: 72775081,233.990,272.990,389.990,Dlites Arch Fit-Bett,Skechers,149800NVTQ,Tenis moda,Mujer,Normal,Sintético,Poliéster,Caucho,,,,,,,Sin plataforma,,,,,
Tenis Adidas para Mujer Running Tenis Duramo Rc,4.7 (438),Código: 72094095,,,299.990,Tenis Duramo Rc,Adidas,ID2708,Tenis deportivos,Mujer,Normal,Tela,Textil,Caucho,,,Toda temporada,,,,,,,,,
Tenis Diadora para Mujer Moda Bamtela2,5 (11),Código: 883016836,,,249.990,Bamtela,Diadora,W Bamtela2 Bl,Tenis moda,Mujer,Normal,Cuero,Malla (nylon),Caucho,,,Toda temporada,,,,,,,,,
Tenis Diadora para Hombre Running Snipec | Zapatillas para hombre Diadora,4.7 (21),Código: 882861233,131.990,153.990,219.990,Snipec,Diadora,SNIPEC9123,Tenis deportivos,Hombre,Normal,Tela,,Goma,No aplica,,,Sintético,,,,,,,,
Tenis Nike para Hombre Moda Air Max Sc,4.8 (5),Código: 72875595,,,404.990,Air Max,Nike,CW4555-013-GRY,Tenis moda,Hombre,Normal,Cuero,Poliéster,Sintético,,,Toda temporada,,,,,,,,,
Tenis Skechers para Mujer Moda Skech Aircourt Coola,4.9 (13),Código: 72791596,255.990,,,Skech Aircourt Coola,Skechers,149947BKW,Tenis moda,Mujer,Normal,Cuero,Poliéster,Caucho,,,Toda temporada,,,,,,,,,
Tenis Reebok Mujer Running Energen Run 3,4.7 (16),Código: 72714021,,,319.900,Energen Run 3,Reebok,100025305,Tenis deportivos,Mujer,Normal,Tela,Sintético,Goma,,,Toda temporada,,,,,,,,,
Tenis Diadora para Mujer Moda Court7,4.1 (8),Código: 883017076,,,149.990,Court,Diadora,W Court7 Mu2,Tenis moda,Mujer,Normal,Sintético,Textil,Caucho,,,Toda temporada,,,,,,,,,
Tenis Adidas para Mujer Moda Court Platform,4.7 (424),Código: 38212516,,,399.990,Court Platform,Adidas,GW9786COURT0101,Tenis moda,Mujer,Normal,Sintético,Sintético,Caucho,,,Toda temporada,,,,,,,,,
Tenis Nike para Mujer Cross Training Legend Essential3,(0),Código: 72875586,,,344.990,Legend,Nike,DM1119-007-BLK,Tenis,Mujer,Normal,Tela,Poliéster,Goma,,,Toda temporada,,,,,,,,,
Tenis Skechers Mujer Moda Summits Cool Classic,5 (7),Código: 23121286,,,279.900,Tenis Skechers Mujer Moda Summits Cool Classic,Skechers,149206NVPK,Tenis moda,Mujer,,Sintético,,Sintético,Puntiaguda,,Toda temporada,Poliéster,,,,,,,,
Tenis Adidas Mujer Cross training Everyset Trainer W,5 (8),Código: 72712521,,,549.990,Everyset Trainer W,Adidas,IF3200,Tenis deportivos,Mujer,Normal,Tela,Textil,Caucho,,,Toda temporada,,,,,,,,,
Tenis Fratta para Mujer Running Safirita,3 (2),Código: 883014819,89.990,104.990,149.990,Safirita,Fratta,Safirita Ne,Tenis,Mujer,Normal,Sintético,Poliéster,Goma,,,Toda temporada,,,,,,,,,
Tenis Under Armour para Mujer Running Essential,5 (18),Código: 72763339,202.990,231.990,289.990,Essential,Under Armour,3022955-115,Tenis,Mujer,Normal,Tela,Textil,Sintético,,,,,,Sí,,,,,,
Tenis Adidas Mujer Running Lite Racer 3.0,4.8 (226),Código: 71786785,,,329.990,Lite Racer 3.0,Adidas,IF5393,Tenis deportivos,Mujer,Normal,Tela,Textil,Caucho,,,Toda temporada,,,,,,,,,
Tenis Reebok Mujer Running Energen Tech Plus,4.8 (4),Código: 63866828,244.990,279.990,349.990,Energen Tech Plus,Reebok,HR1892,Tenis deportivos,Mujer,Normal,Tela,Sintético,Goma,,,Toda temporada,,,,,,,,,
Tenis Skechers para Mujer Moda Ultraflex 3 Lets Dnc,(0),Código: 72820778,191.990,199.990,319.990,Ultraflex,Skechers,149865BKRG,Tenis moda,Mujer,Normal,Sintético,Poliéster,Goma,No aplica,,,,,,,,,,,
Tenis Adidas para Hombre Moda Court,4.9 (7),Código: 72824983,,,299.990,Court,Adidas,IF4077,Tenis moda,Hombre,Normal,Sintético,Textil,Caucho,,,Toda temporada,,,,,,,,,
Tenis Adidas Advantage Court Infantil Unisex,5 (3),Código: 72833250,202.990,231.990,289.950,,Adidas,IG2510,Tenis moda,Unisex,Normal,Tela,Textil,Caucho,,,Toda temporada,,,,,Cordones,,,,
Tenis Skechers para Mujer Moda Glide Stepswift Quic,2 (2),Código: 72791624,251.990,293.990,419.990,Glide Stepswift Quic,Skechers,149957WBKP,Tenis moda,Mujer,Normal,Sintético,,Goma,,,Toda temporada,Poliéster,,,,,,,,
Tenis Adidas para Hombre Running Tenis Duramo Rc,4.7 (586),Código: 72094065,,,299.990,Tenis Duramo Rc,Adidas,ID2702,Tenis deportivos,Hombre,Normal,Tela,Textil,Caucho,,,Toda temporada,,,,,,,,,
Tenis Skechers para Mujer Lifestyle Escapeplan Endlesspu,5 (4),Código: 72806353,,,359.990,Escapeplan Endlesspu,Skechers,180061BKHP,Tenis,Mujer,Normal,Sintético,Poliéster,Goma,,,,,,No,,,,,,
Tenis Skechers para Mujer Moda Go Run Glide Step Fl,5 (5),Código: 72778379,227.890,265.890,379.900,Go Run Glide Step Fl,Skechers,128890GRY,Tenis moda,Mujer,Normal,Sintético,Poliéster,Goma,No aplica,,,,,,,,,,,
