type,gender,last_type,material,brand,sole_material,lining_material,season,made_in,insole_material,name,rating,code,cmr price,event price,full price,discipline,interior_material
Tenis deportivos,Mujer,Normal,Tela,nike,Caucho,Poliéster,Toda temporada,Vietnam,Poliéster,Tenis Nike Mujer Running Flex Expierence Rn 11,4.5,35785593,,,369950.0,Running,
Tenis moda,Hombre,Normal,Tela,adidas,Caucho,Textil,Toda temporada,China,Textil,Tenis Adidas para Hombre Moda D-Pad,5.0,72889106,32999.0,38499.0,549990.0,Lifestyle,
Tenis moda,Mujer,Normal,Tela,adidas,Caucho,Textil,Toda temporada,Indonesia,Poliéster,Tenis Adidas para Mujer Tenis Racer TR23,4.8,72712491,26399.0,30799.0,439950.0,Lifestyle,
Tenis moda,Niño,Normal,Sintético,skechers,Goma,,Toda temporada,China,,Tenis Skechers Microspec-Quick Sprint Niño,4.8,62842124,,,179900.0,,Poliéster
Tenis moda,Mujer,Normal,Sintético,skechers,Caucho,,Toda temporada,Vietnam,Poliéster,Tenis Skechers para Mujer Moda Gorunsupersonic,4.0,72791525,,,369990.0,,Poliéster
Tenis moda,Mujer,Normal,Cuero,skechers,Goma,,Toda temporada,Vietnam,Poliéster,Tenis Skechers para Mujer Moda Dluxfitness Modestfl,4.8,72791587,,,359990.0,,Poliéster
Tenis,Hombre,Normal,Tela,fratta,Sintético,Malla (nylon),Toda temporada,China,Malla (Nylon),Tenis Fratta para Hombre Running Soroll,5.0,883014528,,,129990.0,Running,
Tenis moda,Mujer,Normal,Tela,adidas,Caucho,Textil,Toda temporada,Indonesia,Textil,Tenis Adidas Mujer Moda Alphaedge +,4.3,72712557,22799.0,26599.0,379990.0,Lifestyle,
Tenis deportivos,Mujer,Normal,Sintético,nike,Goma,,Toda temporada,Vietnam,Poliéster,Tenis Nike para Mujer Running Revolution 6 Nn,5.0,72784006,25199.0,28799.0,359950.0,Running,Poliéster
Tenis moda,Hombre,Normal,Sintético,skechers,Sintético,Poliéster,Toda temporada,China,Poliéster,Tenis Moda Skechers Summits Hombre,4.8,39304056,,,254990.0,,
Tenis moda,Mujer,Normal,Sintético,skechers,Goma,,Toda temporada,Vietnam,Poliéster,Tenis Skechers para Mujer Moda Dluxfitness Brightba,5.0,72791554,,,369990.0,,Poliéster
Tenis deportivos,Mujer,Normal,Tela,on running,Caucho,Textil,Toda temporada,Vietnam,Textil,Tenis Onrunning para Mujer Running Cloudmonster,0.0,72901699,,,999990.0,Running,
Tenis moda,Niño,Normal,Sintético,skechers,Goma,,Toda temporada,China,Poliéster,Tenis Skechers Illumi Brights Therm para Niño Velcro,5.0,72794530,,,169900.0,,Poliéster
Tenis moda,Mujer,Normal,Sintético,skechers,Goma,Poliéster,Toda temporada,Vietnam,Poliéster,Tenis Skechers para Mujer Moda Skech Litepro Lightr,4.8,72806316,,,279990.0,,
Tenis moda,Niño,Normal,Sintético,skechers,Goma,Poliéster,Toda temporada,China,Poliéster,Tenis moda Skechers Bounder Rozerg para Niño,0.0,72882971,,,179990.0,,
Tenis moda,Mujer,,Sintético,skechers,Sintético,,Toda temporada,China,,Tenis Skechers Mujer Moda Summits Cool Classic,5.0,23121286,,,279900.0,,Poliéster
Tenis moda,Unisex,Normal,Tela,vans,Caucho,Textil,Toda temporada,China,Textil,Tenis Vans Unisex Moda Classic Slip-On,4.8,28053992,,,269990.0,,
Tenis moda,Hombre,Normal,Sintético,diadora,Caucho,Malla (nylon),Toda temporada,China,Malla (Nylon),Tenis Diadora para Hombre Moda James7,5.0,883016013,,,159990.0,Lifestyle,
Tenis moda,Mujer,Normal,Sintético,skechers,Goma,,Toda temporada,Vietnam,Poliéster,Tenis Skechers para Mujer Moda Glide Stepswift Slig,4.8,72791641,,,389990.0,,Poliéster
Tenis moda,Mujer,Normal,Tela,adidas,Caucho,Textil,Toda temporada,Indonesia,Poliéster,Tenis Adidas para Mujer Tenis Racer TR23,4.8,72712485,26399.0,30799.0,439950.0,Lifestyle,
Tenis moda,Hombre,Normal,Sintético,diadora,Goma,Poliéster,Toda temporada,China,Textil,Tenis Diadora para Hombre Bamtelo,4.5,882887589,,,229990.0,Lifestyle,
Tenis moda,Mujer,Normal,Sintético,skechers,Goma,Poliéster,Toda temporada,Vietnam,Poliéster,Tenis Skechers para Mujer Moda Ultra Flex 3 Cls Ch,5.0,72820771,,,319990.0,,
Tenis moda,Hombre,Normal,Cuero,puma,Caucho,Sintético,Toda temporada,Vietnam,Textil,Tenis Puma para Hombre Moda Palermo Lth,5.0,72878592,,,549990.0,Lifestyle,
Tenis moda,Mujer,Normal,Tela,diadora,Sintético,Malla (nylon),Toda temporada,China,Malla (Nylon),Tenis Diadora para Mujer Moda Vinfa4,4.7,883015837,,,199990.0,Lifestyle,
Tenis moda,Mujer,Normal,Sintético,skechers,Goma,Poliéster,Toda temporada,China,Poliéster,Tenis Skechers para Mujer Moda Bobsbflexhi Forceswi,5.0,72836552,,,299990.0,,
Tenis moda,Mujer,Normal,Cuero,nike,Caucho,Poliéster,Toda temporada,China,Poliéster,Tenis Nike para Mujer Moda Nike Blazer Low '77 | Zapatillas Nike para Mujer Blazer Low 77,0.0,72832989,,,484950.0,,
Tenis moda,Mujer,Normal,Sintético,skechers,Goma,Poliéster,Toda temporada,China,Poliéster,Tenis Skechers para Mujer Moda Go Walk Air 2.0,5.0,72778345,,,379900.0,,
Tenis moda,Mujer,Normal,Sintético,diadora,Caucho,Textil,Toda temporada,China,Textil,Tenis Diadora para Mujer Moda Court7,4.0,883017076,,,149990.0,Lifestyle,
Tenis moda,Hombre,Normal,Sintético,diadora,Caucho,,Toda temporada,China,,Tenis Diadora Hombre Moda Court7,4.8,882687468,,,159990.0,,Sintético
Tenis moda,Mujer,Normal,Sintético,skechers,Goma,Poliéster,Toda temporada,Vietnam,Poliéster,Tenis Skechers para Mujer Moda Ultraflex 3 Lets Dnc,5.0,72820794,,,319990.0,,
Tenis moda,Niño,Normal,Sintético,skechers,Goma,Poliéster,Toda temporada,China,Poliéster,Tenis moda Skechers Bounder Rozerg para Niño,0.0,72882968,,,179990.0,,
,Hombre,Normal,Textil,,Caucho,Textil,,,,Tenis Hombre Adidas Run Falcon 2.0 - Negro-Blanco,0.0,118464917,240149.0,2639.0,353900.0,Running,
,Hombre,Normal,Textil,,Caucho,Malla (nylon),,,,Adidas Response Runner U Tenis gris de hombre para correr,5.0,127923266,,,199950.0,Running,
Tenis moda,Mujer,Normal,Cuero,nike,Caucho,Poliéster,Toda temporada,China,Poliéster,Tenis Nike para Mujer Moda Nike Blazer Low '77 Jumbo | Zapatillas Nike para Mujer Blazer Low 77,5.0,72833000,,,549990.0,,
Tenis moda,Niño,Normal,Cuero,reebok,Goma,Textil,Toda temporada,China,Textil,Tenis Reebok Classic para Niño,0.0,72793531,13989.0,15989.0,199900.0,,
Tenis moda,Mujer,Normal,Sintético,diadora,Sintético,Sintético,Toda temporada,China,,Tenis Diadora Mujer Moda Sildan2,4.0,882814798,,,249990.0,Lifestyle,
Tenis moda,Mujer,Normal,Sintético,diadora,Sintético,Sintético,Toda temporada,China,,Tenis Diadora Mujer Moda Sildan2,5.0,882814727,,,249990.0,Lifestyle,
Tenis deportivos,Hombre,Normal,Tela,nike,Caucho,Poliéster,Toda temporada,Vietnam,Poliéster,Tenis Nike para Hombre Running Revolution 7 | Zapatillas Nike Revolution 7,5.0,72832942,,,344950.0,Running,
Tenis moda,Mujer,Normal,Cuero,skechers,Goma,,Toda temporada,Vietnam,Poliéster,Tenis Skechers para Mujer Moda Dluxfitness Modestfl,5.0,72791579,,,359990.0,,Poliéster
Tenis deportivos,Hombre,Normal,Cuero,under armour,Goma,Textil,Toda temporada,Vietnam,Textil,Tenis Under Armour para Hombre Running Charged Assert 9,4.6,72890680,,,349990.0,Running,
Tenis deportivos,Mujer,Normal,Tela,new balance,Caucho,,Toda temporada,Vietnam,,Tenis New Balance Mujer Running M1,4.5,62387933,,,525990.0,Running,
Tenis deportivos,Mujer,Normal,Cuero,under armour,Goma,Textil,Toda temporada,Vietnam,Textil,Tenis Under Armour para Mujer Running Charged Assert 10,4.0,72890619,,,349990.0,Running,
Tenis moda,Mujer,Normal,Sintético,disney,Goma,Poliéster,Toda temporada,China,Poliéster,Tenis Disney para Mujer Moda Becourtmin2,4.7,883029575,,,129990.0,Lifestyle,
Tenis deportivos,Hombre,Normal,Tela,diadora,Goma,,Toda temporada,Vietnam,Sintético,Tenis Diadora para Hombre Running Snipec | Zapatillas para hombre Diadora,4.7,882861233,,,219990.0,Running,Sintético
,Mujer,Normal,Textil,,Caucho,Textil,,,,Tenis Mujer adidas Response - Blanco,5.0,118461186,279279.0,3069.0,409900.0,Running,
Tenis moda,Mujer,Normal,Sintético,skechers,Goma,,Toda temporada,Vietnam,Poliéster,Tenis Skechers para Mujer Moda Dluxfitness Brightba,5.0,72791570,,,369990.0,,Poliéster
,Mujer,,Textil,,Goma,,,,,Tenis New Balance 430 V2 Mujer-Esmeralda Oscuro,4.0,129552351,209291.0,22999.0,359990.0,Running,
Tenis moda,Mujer,Normal,Cuero,nike,Goma,,Toda temporada,Indonesia,Poliéster,Tenis Nike para Mujer Moda Blazer LoPlatform,5.0,72783810,,,549990.0,,Poliéster
Tenis moda,Hombre,Normal,Sintético,diadora,Sintético,Textil,Toda temporada,China,Malla (Nylon),Tenis Diadora para Hombre Moda Court7,4.6,883015905,,,159990.0,Lifestyle,
,Hombre,Normal,Sintético,,Goma,Textil,,,,Tenis Hombre Nike Court Royale 2 Next Nature - Blanco,0.0,126927546,282055.0,30995.0,337950.0,,
Tenis deportivos,Mujer,Normal,Sintético,asics,Sintético,Sintético,Toda temporada,Brasil,,Tenis Asics Mujer Running Kabuki,4.7,63814681,24499.0,27999.0,349990.0,Running,
Tenis moda,Niño,Normal,Sintético,nike,Sintético,Textil,Toda temporada,Indonesia,Textil,Tenis Nike Air Max Sc Bpv Niño Velcro,4.7,54793540,27999.0,31999.0,399950.0,Lifestyle,
Tenis moda,Niño,Normal,Sintético,skechers,Goma,Poliéster,Toda temporada,China,Poliéster,Tenis moda Skechers Bounder Rozerg para Niño,0.0,72882968,,,179990.0,,
Tenis moda,Hombre,Normal,Sintético,skechers,Goma,Poliéster,Toda temporada,Vietnam,Poliéster,Tenis Skechers para Hombre Moda Aircushioning Binson,5.0,72728668,,,299990.0,,
,Mujer,,Textil,,,,,,,Tenis Mujer Reebok Lite 3.0 - Azul,5.0,128112741,178269.0,1959.0,261900.0,Running,
Tenis moda,Mujer,Normal,Sintético,skechers,Goma,Poliéster,Toda temporada,Vietnam,Poliéster,Tenis Skechers para Mujer Moda Ultraflex 3 Lets Dnc,0.0,72820787,,,319990.0,,
Tenis moda,Hombre,Normal,Cuero,puma,Caucho,Sintético,Toda temporada,Vietnam,Textil,Tenis Puma para Hombre Moda Palermo Lth,0.0,72878581,,,549990.0,Lifestyle,
Tenis moda,Mujer,Normal,Sintético,skechers,Goma,Poliéster,Toda temporada,Vietnam,Poliéster,Tenis Skechers para Mujer Moda Ultraflex 3 Lets Dnc,0.0,72820778,,,319990.0,,
Tenis deportivos,Mujer,Normal,Tela,reebok,Goma,Sintético,Toda temporada,Vietnam,Sintético,Tenis Reebok Mujer Running Floatride Energy 5,5.0,72714028,,,499900.0,Running,
Tenis moda,Mujer,Normal,Tela,adidas,Caucho,Textil,Toda temporada,Vietnam,Textil,Tenis Adidas para Mujer Moda Bravada 2.0 Platform,4.7,72888983,25199.0,29399.0,419990.0,Lifestyle,
Tenis moda,Mujer,Normal,Sintético,nike,Sintético,Caucho,Toda temporada,Indonesia,Caucho,Tenis Nike para Mujer Moda Air Max Excee,4.6,4968648,,,539990.0,Lifestyle,
Tenis moda,Hombre,Normal,Sintético,la martina,Caucho,,Toda temporada,China,,Tenis Moda La Martina Adolfo Hombre,0.0,882740515,,,249990.0,,Sintético
Tenis moda,Mujer,Normal,Sintético,skechers,Goma,,Toda temporada,Vietnam,Poliéster,Tenis Skechers para Mujer Moda Glide Stepswift Slig,5.0,72791650,,,389990.0,,Poliéster
Tenis,Hombre,Normal,Tela,adidas,Caucho,,Toda temporada,Indonesia,Textil,Tenis Adidas para Hombre Running Duramo Speed | Tenis de Running Color Negro,4.8,72801627,32399.0,37799.0,539950.0,Running,Textil
Tenis deportivos,Mujer,Normal,Sintético,asics,Caucho,,Toda temporada,Indonesia,Poliéster,Tenis Asics Mujer para jugar tenis Gel-Challenger 13 Padel,4.4,72800875,,,449990.0,Tenis,Poliéster
Tenis,Mujer,Normal,Tela,reebok,Goma,Textil,Toda temporada,China,Textil,Tenis Reebok para Mujer Running Zig Dynamica 4 | Tenis para Mujer de Running Color Azul,5.0,72815832,27289.0,31189.0,389900.0,Running,
Tenis deportivos,Mujer,Normal,Tela,reebok,Goma,Sintético,Toda temporada,Vietnam,Sintético,Tenis Reebok Mujer Running Energen Run 3,4.8,72713886,22389.0,25589.0,319900.0,Running,
Tenis deportivos,Unisex,Normal,Tela,adidas,Caucho,Textil,Toda temporada,Indonesia,Textil,Tenis Adidas Running Response Runner U | Zapatillas Adidas Running Response,4.8,63085480,,,199990.0,Running,
Guayos,Unisex,Normal,Sintético,adidas,Sintético,Textil,Toda temporada,Indonesia,Textil,Guayos Adidas Goletto VIII Infantil Unisex,4.8,72833227,11999.0,13999.0,199950.0,,
Tenis moda,Niño,Normal,Cuero,reebok,Goma,Textil,Toda temporada,China,Textil,Tenis Reebok Classic para Niño,0.0,72793541,13989.0,15989.0,199900.0,,
Tenis moda,Niño,Normal,Cuero,reebok,Goma,Textil,Toda temporada,China,Textil,Tenis Reebok Classic para Niño,0.0,72793541,13989.0,15989.0,199900.0,,
Tenis deportivos,Mujer,Normal,Sintético,skechers,Caucho,Sintético,Toda temporada,China,,Tenis Skechers Mujer - Zapatos Skechers Dama. Tenis rosados cómodos Skechers para mujer. Zapatillas moda Cross training Go Run Elevate Quick Stride,4.9,61896433,,,319990.0,Cross training,
,Mujer,,Cuero,,,,,,,Tenis Mujer Adidas Court Low Streetcheck Cloudfoam - Blanco-Negro,4.5,118465095,263809.0,2899.0,387900.0,,
Tenis moda,Niño,Normal,Sintético,skechers,Goma,,Toda temporada,China,Poliéster,Tenis Skechers Illumi Brights Therm para Niño Velcro,5.0,72794530,,,169900.0,,Poliéster
Tenis,Mujer,Normal,Tela,on running,Caucho,,Toda temporada,Vietnam,Poliéster,Tenis On Running para Mujer Running Cloudmonster,4.0,72736886,,,999990.0,Running,Poliéster
Tenis moda,Mujer,Normal,Sintético,new balance,Caucho,,Toda temporada,Vietnam,,Tenis New Balance Mujer Moda 327,0.0,69642297,42909.0,49039.0,612990.0,,Textil
Tenis,Hombre,Normal,Tela,under armour,Sintético,Textil,Toda temporada,Indonesia,Textil,Tenis Under Armour Mujer Running Charged Pursuit 3,4.7,42790421,,,359900.0,Running,
Tenis moda,Unisex,Normal,Tela,converse,Caucho,Poliéster,Toda temporada,Vietnam,Poliéster,Tenis Converse Blancos Chuck Taylor All Star Unisex Infantil,5.0,72813812,,,209990.0,,
Tenis moda,Hombre,Normal,Sintético,nike,Goma,Sintético,Toda temporada,Indonesia,Sintético,Tenis Nike Hombre Moda Air Max SC,4.7,18841130,,,469950.0,Lifestyle,
Tenis moda,Mujer,Normal,Cuero,nike,Caucho,Poliéster,Toda temporada,Indonesia,Poliéster,Tenis Nike para Mujer Moda Nike Blazer Low Platform | Zapatillas Nike para Mujer Blazer Low Plataform,5.0,72833007,,,534950.0,,
Tenis deportivos,Hombre,Normal,Tela,adidas,Caucho,Textil,Toda temporada,Indonesia,Textil,Tenis Adidas Running Response Runner U | Zapatillas Adidas Running Response Runner U,4.8,63085467,,,199990.0,Running,
