type,gender,last_type,material,brand,sole_material,lining_material,season,made_in,insole_material,Name,Rating,Code,CMR Price,Event Price,Full Price,discipline,interior_material
,Mujer,Pequeña,Sintético,,Goma,Textil,,,,['Zapatillas Marron UA CH WING 3027122-500-MRN UNDER ARMOUR'],['(0)'],['Código: 129224416'],300.209,,,Running,
,Mujer,Normal,Textil,,Goma,Textil,,,,['Tennis Puma Mujer Twitch Runner'],['5 (2)'],['Código: 118776181'],,,,,
,Mujer,Pequeña,Sintético,,Goma,Textil,,,,['TenisW Charged Aurora 2 Mujer 3025238-002-N11 UNDER ARMOUR'],['4 (3)'],['Código: 122567881'],,,,Running,
,Hombre,,Cuero,,Goma,,,,,['Tenis New Balance 515-Verde'],['5 (1)'],['Código: 126747483'],291.191,319.990,359.990,Outdoor,
,Hombre,,Sintético,,Goma,,,,,['Tenis Nike Air Zoom Pegasus 40 Running-Blanco'],['(0)'],['Código: 128262846'],655.191,,,Running,
,Hombre,,Textil,,,,,,,['Tenis Hombre Adidas Duramo SL - Negro'],['1 (1)'],['Código: 122253289'],271.089,297.900,398.900,Running,
Tenis,Unisex,Normal,Tela,Adidas,Caucho,Textil,Toda temporada,Indonesia,Textil,['Tenis Adidas Unisex Running Response Runner'],['4.8 (1370)'],['Código: 72864306'],,,199.990,Running,
Tenis deportivos,Hombre,Normal,Tela,Adidas,Caucho,Textil,Toda temporada,Indonesia,Textil,['Tenis Adidas para Hombre Running Supernova Stride'],['4.8 (15)'],['Código: 72905263'],,,699.990,Running,
Tenis moda,Mujer,Normal,Cuero,New Balance,Caucho,Textil,Toda temporada,Vietnam,Textil,['Tenis New Balance para Mujer Moda 420'],['3.5 (2)'],['Código: 72802435'],249.990,,,,
Tenis moda,Mujer,Normal,Sintético,Skechers,Goma,Poliéster,Toda temporada,China,Poliéster,['Tenis Skechers para Mujer Moda Go Walk Air 2.0 Clas'],['(0)'],['Código: 72778356'],265.890,303.890,379.900,,
,Mujer,,Textil,,Goma,,,,,['Tenis New Balance 520 Mujer-Negro'],['4 (1)'],['Código: 124224141'],,,,Running,
,Mujer,Normal,Textil,,Caucho,Textil,,,,['Tenis Mujer Adidas Runfalcon 2.0 - Naranja'],['(0)'],['Código: 121539060'],255.619,280.900,375.900,Running,
,Hombre,Normal,Sintético,,Goma,,,,,['Tenis Hombre Nike Kyrie 8 - Verde'],['(0)'],['Código: 123336069'],671.535,737.950,786.950,Básquetbol,
,Mujer,Normal,Textil,,Cuero,Textil,,,,['Tenis Mujer Adidas Alphabounce sustainable - Blanco'],['5 (1)'],['Código: 122241113'],386.659,424.900,569.900,Running,
Tenis moda,Mujer,Normal,Cuero,Veja,Goma,,Toda temporada,Brasil,,['Tenis moda Veja Recife Mujer'],['5 (6)'],['Código: 39522897'],,,,,Sintético
Zapatos casuales,Niño,Normal,Sintético,,,,,,,['Tenis con luces Raceto Azul Osc para niño Los Gomosos'],['4.9 (8)'],['Código: 119315978'],,,,,
Tenis moda,Unisex,Normal,Sintético,Reebok,Goma,Poliéster,Toda temporada,Vietnam,Poliéster,['Tenis Reebok Classic Harry Potter Unisex | Tenis Harry Potter Reebok Gryffindor'],['4.2 (5)'],['Código: 72870150'],289.990,,,,
Tenis moda,Hombre,Normal,Sintético,Puma,Caucho,Textil,Toda temporada,China,Textil,['Tenis Puma para Hombre Moda Puma Shuffle Perf'],['5 (1)'],['Código: 72878601'],229.990,,,Lifestyle,
Tenis moda,Mujer,Normal,Sintético,On Running,Caucho,,Toda temporada,Vietnam,Sintético,['Tenis On Running Mujer Moda Cloud 5'],['(0)'],['Código: 70110761'],,,799.990,,Sintético
Tenis deportivos,Hombre,Normal,Tela,Adidas,Caucho,Textil,Toda temporada,Indonesia,Textil,['Tenis Adidas Running Response Runner U | Zapatillas Adidas Running Response Runner U'],['4.8 (38)'],['Código: 63085463'],,,199.990,Running,
,Mujer,,Cuero,,Goma,,,,,['Tenis New Balance 574 + Mujer-Verde'],['(0)'],['Código: 128359577'],527.791,,,Outdoor,
,Hombre,,Cuero,,Goma,,,,,['Tenis New Balance 327-Negro'],['(0)'],['Código: 128359363'],655.191,,,Outdoor,
,Mujer,Normal,Textil,,Caucho,Textil,,,,['Tenis Mujer Skechers Max Cushion Delta - Azul-Morado'],['(0)'],['Código: 122241234'],,,,Running,
,Mujer,,Cuero,,Goma,,,,,['Tenis Nike Air Max Sc Sportswear Mujer-Blanco/Azul'],['(0)'],['Código: 128520075'],373.091,,,Outdoor,
Tenis moda,Mujer,Normal,Cuero,Reebok,Goma,Textil,Toda temporada,Vietnam,Textil,['Tenis Reebok para Mujer Moda Classic'],['4.7 (884)'],['Código: 72815591'],289.990,,,,
Tenis moda,Unisex,Normal,Tela,Vans,Caucho,Textil,Toda temporada,China,Textil,['Tenis Vans Unisex Moda Authentic'],['5 (22)'],['Código: 28053942'],188.990,215.990,269.990,,
Tenis,Mujer,Normal,Sintético,Asics,Caucho,Poliéster,Toda temporada,Vietnam,Poliéster,['Tenis Asics para Mujer Running Gt 1000 12'],['(0)'],['Código: 71282069'],384.990,439.990,549.990,Running,
Tenis,Hombre,Normal,Sintético,Puma,Caucho,,Toda temporada,China,Textil,['Tenis Puma para Hombre Lifestyle Up'],['4.7 (3)'],['Código: 72794036'],229.990,,,Lifestyle,Textil
,Hombre,,Cuero,,Goma,,,,,['Tenis New Balance 515-Azul Indigo'],['(0)'],['Código: 128359500'],327.591,,,Outdoor,
,Hombre,Pequeña,Sintético,,Goma,Textil,,,,['Zapatillas Negro UA BUZZER SE 3027783-002-N11 UNDER ARMOUR'],['(0)'],['Código: 129224437'],409.409,,,Running,
,Hombre,,,,,,,,,['ZAPATILLA ADIDAS HOMBRE BLANCO VL COURT BASE - ID3711'],['(0)'],['Código: 128907856'],,,249.950,Tenis,
,Hombre,,Cuero,,Goma,,,,,['Tenis New Balance 237 Shifted-Negro'],['5 (1)'],['Código: 129576616'],327.591,359.990,529.990,Outdoor,
Tenis moda,Unisex,Normal,Tela,Converse,Caucho,Poliéster,Toda temporada,Vietnam,Poliéster,['Tenis Converse Unisex Moda Chuck Taylor All Star'],['5 (1)'],['Código: 72807285'],,,299.990,,
Tenis moda,Mujer,Normal,Tela,Veja,Caucho,Poliéster,Toda temporada,Brasil,Textil,['Tenis Veja para Mujer Moda Wata II Low'],['(0)'],['Código: 72884220'],,,,Lifestyle,
Tenis deportivos,Mujer,Normal,Sintético,Asics,Caucho,Poliéster,Otoño-Invierno,Vietnam,Poliéster,['Tenis Asics para Mujer Running Jolt 4'],['5 (1)'],['Código: 72902080'],249.990,,,Running,
Tenis moda,Mujer,Normal,Sintético,Veja,Caucho,Poliéster,Toda temporada,Brasil,Textil,['Tenis Veja para Mujer Moda Rio Branco Light'],['(0)'],['Código: 72884328'],,,,Lifestyle,
,Mujer,,Cuero,,Goma,,,,,['Tenis Nike Air Max Sc Sportswear Mujer-Blanco'],['5 (1)'],['Código: 128520164'],373.091,,,Outdoor,
,Hombre,,,,,,,,,['ZAPATILLAS ADIDAS HOMBRE DURAMO RC U ID2702'],['(0)'],['Código: 128395821'],242.929,266.955,299.950,Running,
,Hombre,Normal,Textil,,Caucho,Textil,,,,['Tenis Hombre Adidas Duramo SL - Azul-Blanco'],['5 (1)'],['Código: 122241203'],271.089,297.900,398.900,Running,
,Mujer,Normal,Gamuza,,Goma,Textil,,,,['Tenis New Balance 237'],['(0)'],['Código: 122840463'],,,,,
Tenis moda,Mujer,Normal,Sintético,Adidas,Caucho,Sintético,Toda temporada,Vietnam,Sintético,['Tenis Adidas para Mujer Moda Court Platform'],['4.7 (426)'],['Código: 72889168'],215.990,251.990,359.990,Lifestyle,
Tenis moda,Unisex,Normal,Sintético,Reebok,Goma,Poliéster,Toda temporada,China,Poliéster,['Tenis Reebok Classic Harry Potter Unisex | Tenis Harry Potter Reebok Slytherin'],['(0)'],['Código: 72870144'],289.990,,,,
Tenis moda,Niño,Normal,Sintético,Skechers,Goma,,Toda temporada,China,Poliéster,['Tenis Skechers Illumi Brights Therm para Niño Velcro'],['5 (3)'],['Código: 72794533'],,,169.900,,Poliéster
Tenis moda,Niño,Normal,Cuero,Reebok,Goma,Textil,Toda temporada,China,Textil,['Tenis Reebok Classic para Niño'],['(0)'],['Código: 72793527'],139.890,159.890,199.900,,
Tenis deportivos,Mujer,Normal,Tela,Reebok,Goma,Sintético,Toda temporada,Vietnam,Sintético,['Tenis Reebok Mujer Cross training Flexagon Energy Tr 4'],['4.6 (27)'],['Código: 72713984'],209.990,,,Cross training,
Tenis,Mujer,Normal,Tela,Adidas,Caucho,Textil,Toda temporada,Indonesia,Textil,['Tenis Adidas para Mujer Running Duramo'],['4.7 (336)'],['Código: 72864275'],249.990,,,Running,
Tenis moda,Hombre,Normal,Cuero,Adidas,Caucho,Textil,Toda temporada,Vietnam,Textil,['Tenis Adidas para Hombre Moda VL Court 3.0'],['4.8 (89)'],['Código: 72888850'],,,279.990,Lifestyle,
Tenis deportivos,Mujer,Normal,Tela,Asics,Caucho,Poliéster,Toda temporada,Brasil,Poliéster,['Tenis Asics para Mujer Running Gel-Equation 12'],['5 (24)'],['Código: 72713763'],258.990,295.990,369.990,Running,
Tenis moda,Hombre,Normal,Cuero,Adidas,Caucho,Textil,Toda temporada,Vietnam,Textil,['Tenis Adidas para Hombre Moda VL Court 3.0'],['4.8 (71)'],['Código: 72888871'],,,329.990,Lifestyle,
Tenis moda,Niño,Normal,Sintético,Skechers,Goma,Poliéster,Toda temporada,China,Poliéster,['Tenis moda Skechers Bounder Rozerg para Niño'],['(0)'],['Código: 72882966'],,,179.990,,
Zapatos casuales,Niño,Normal,Sintético,,,,,,,['Tenis con luces Raceto Azul Osc para niño Los Gomosos'],['4.9 (8)'],['Código: 119315978'],,,,,
Tenis moda,Mujer,Normal,Cuero,Adidas,Caucho,Textil,Toda temporada,India,Textil,['Tenis Adidas para Mujer Moda Samba'],['4.9 (367)'],['Código: 72905183'],,,599.990,Lifestyle,
Tenis,Mujer,Normal,Tela,Fratta,Goma,Poliéster,Toda temporada,China,Poliéster,['Tenis Fratta para Mujer Running Sabi2'],['4.4 (19)'],['Código: 883014804'],,,149.990,Running,
Tenis moda,Hombre,Normal,Tela,Bearcliff,Goma,,Toda temporada,China,,['Tenis Moda Bearcliff Atrillon Hombre'],['4.6 (128)'],['Código: 882678628'],,,109.990,,Sintético
,Mujer,Normal,Sintético,,Sintético (PU),Sintético,,,,['Price Shoes Tenis Deportivos Mujeres 702M06906Blanco'],['4.7 (33)'],['Código: 123848939'],,,,Walking,
Tenis moda,Mujer,Normal,Cuero,Skechers,Caucho,Poliéster,Toda temporada,China,Poliéster,['Tenis Skechers para Mujer Moda Skech Aircourt Coola'],['4.9 (13)'],['Código: 72791596'],223.990,255.990,319.990,,
,Hombre,Normal,Sintético,,Sintético (PU),Sintético,,,,['Tenis Tellenzi Hombre 1495'],['4.3 (18)'],['Código: 120860071'],,,,,
Tenis moda,Hombre,Normal,Cuero,Nike,Sintético,Poliéster,Toda temporada,Indonesia,Poliéster,['Tenis Nike para Hombre Moda Air Max Sc'],['5 (1)'],['Código: 72875591'],,,404.990,Lifestyle,
,Mujer,Normal,Sintético,,Sintético (PU),Algodón,,,,['Tenis Casual Mujer Calzado Urbano de Moda Zapato Informal Planos'],['4.3 (31)'],['Código: 124284562'],,,,,
Tenis deportivos,Hombre,Normal,Sintético,Fratta,Sintético,,Toda temporada,China,,['Tenis Fratta Hombre Running Vexel2'],['4.6 (153)'],['Código: 882758873'],,,129.990,Running,Sintético
Tenis moda,Mujer,Normal,Cuero,New Balance,Caucho,Textil,Toda temporada,Indonesia,Textil,['Tenis New Balance para Mujer Moda 373'],['(0)'],['Código: 72894309'],249.990,,,Lifestyle,
Tenis deportivos,Mujer,Normal,Tela,Adidas,Caucho,Textil,Toda temporada,Indonesia,Textil,['Tenis Adidas Mujer Running Lite Racer 3.0'],['4.8 (226)'],['Código: 71786785'],249.990,,,Running,
Tenis moda,Mujer,Normal,Tela,Adidas,Caucho,Textil,Toda temporada,Indonesia,,['Tenis Adidas para Mujer Moda Lite Racer 3.0'],['4.8 (909)'],['Código: 25623763'],249.990,,,Lifestyle,
Tenis deportivos,Hombre,Normal,Tela,New Balance,Caucho,Textil,Toda temporada,Vietnam,Textil,['Tenis New Balance Hombre Running 430'],['4.7 (11)'],['Código: 66428926'],199.990,227.490,454.990,Running,
Tenis moda,Mujer,Normal,Tela,Skechers,Goma,Poliéster,Toda temporada,Vietnam,Poliéster,['Tenis Skechers para Mujer Moda Flex Appeal 4.0 Brilliantvie'],['5 (12)'],['Código: 72738992'],,,,,
Tenis,Mujer,Normal,Tela,Fratta,Goma,Poliéster,Toda temporada,China,Poliéster,['Tenis Fratta para Mujer Running Sabi2'],['4.9 (11)'],['Código: 882814814'],89.990,104.990,149.990,Running,
Tenis deportivos,Mujer,Normal,Sintético,Mountain Gear,Sintético,,Toda temporada,China,,['Tenis Mountain Gear Mujer Outdoor Carlow'],['4.6 (177)'],['Código: 882687005'],151.990,,,Outdoor,Sintético
Tenis deportivos,Hombre,Normal,Sintético,Fratta,Sintético,Sintético,Toda temporada,China,,['Tenis Fratta Hombre Running Zoenty'],['4.6 (26)'],['Código: 882678778'],,,129.990,Running,
Tenis moda,Mujer,Normal,Cuero,Nike,Goma,Sintético,Toda temporada,Vietnam,Sintético,['Tenis Nike Mujer Moda Air Max System'],['4.8 (24)'],['Código: 70530291'],377.990,431.990,539.950,,
Tenis deportivos,Hombre,Normal,Tela,Diadora,Goma,,Toda temporada,Vietnam,Sintético,['Tenis Diadora para Hombre Running Snipec | Zapatillas para hombre Diadora'],['4.8 (4)'],['Código: 882861332'],131.990,153.990,219.990,Running,Sintético
Tenis deportivos,Hombre,Normal,Sintético,Fratta,Sintético,Sintético,Toda temporada,China,,['Tenis Fratta Hombre Running Vexel2'],['4.8 (13)'],['Código: 882758792'],,,129.990,Running,
Zapatos casuales,Niño,Normal,Textil,,,,,,,['Tenis con luces Teuri Negro-Gris para niño Los Gomosos'],['3.7 (3)'],['Código: 119317382'],,,,,
Tenis moda,Niño,Normal,Sintético,Nike,Sintético,Textil,Toda temporada,Indonesia,Textil,['Tenis Nike Air Max Sc Bpv Niño Velcro'],['4.7 (6)'],['Código: 54793540'],279.990,319.990,399.950,Lifestyle,
Tenis,Mujer,Normal,Tela,Under Armour,Sintético,Textil,Toda temporada,Vietnam,Textil,['Tenis Under Armour para Mujer Running Essential'],['5 (19)'],['Código: 72763339'],229.990,,,Running,
Tenis moda,Hombre,Normal,Sintético,Adidas,Caucho,Textil,Toda temporada,Indonesia,Textil,['Tenis Adidas para Hombre Moda Urban Court'],['4.8 (118)'],['Código: 72889023'],179.990,209.990,299.990,Lifestyle,
Tenis moda,Hombre,Normal,Sintético,Nike,Sintético,Textil,Toda temporada,Indonesia,Textil,['Tenis Nike para Hombre Moda Air Max SC C/O'],['4.9 (73)'],['Código: 53880100'],,,469.950,,
,Hombre,Normal,Textil,,Caucho,Textil,,,,['Tenis Hombre Skechers Go Run Consistent Traceur - Negro - Blanco'],['4.4 (5)'],['Código: 118463187'],,,,Running,
Tenis moda,Mujer,Normal,Cuero,Adidas,Caucho,Textil,Toda temporada,Vietnam,Textil,['Tenis Adidas para Mujer Moda VL Court 3.0'],['4.8 (62)'],['Código: 72888897'],,,329.990,Lifestyle,
Tenis deportivos,Mujer,Normal,Tela,Under Armour,Caucho,Textil,Toda temporada,Vietnam,Textil,['Tenis Under Armour para Hombre Running Phade RN 2 | Zapatillas Under Armour Phade RN 2'],['4.6 (7)'],['Código: 72763408'],229.990,,,Running,
Tenis deportivos,Mujer,Normal,Sintético,Reebok,Goma,Sintético,Toda temporada,China,Textil,['Tenis Deportivos Reebok para Mujer de Running Zig Dynamica'],['4.9 (7)'],['Código: 72790795'],,,389.990,Running,
Tenis moda,Mujer,Normal,Sintético,Sybilla,Sintético,Poliéster,Toda temporada,China,Poliéster,['Tenis Sybilla para Mujer Moda Bersynew'],['5 (1)'],['Código: 882994532'],99.990,,,Lifestyle,
,Mujer,Normal,Sintético,,Pvc,Algodón,,,,['Zapato Casual Mujer Tenis Blancos Clasicos Mujer'],['3.7 (7)'],['Código: 124565788'],,,,,
Tenis,Hombre,Normal,Tela,Fratta,Sintético,Malla (nylon),Toda temporada,China,Malla (Nylon),['Tenis Fratta para Hombre Running Rollinarew'],['4.3 (3)'],['Código: 883014557'],,,129.990,Running,
Tenis,Mujer,Normal,Sintético,Reebok,Goma,Textil,Toda temporada,Vietnam,Textil,['Tenis Reebok para Mujer Cross Training Nanoflex Tr 2 | Tenis para Mujer de Cross Training Color Azul'],['4 (2)'],['Código: 72804665'],272.990,311.990,389.990,Cross training,
Tenis deportivos,Hombre,Normal,Tela,On Running,Caucho,Textil,Toda temporada,Vietnam,Textil,['Tenis Onrunning para Hombre Running Cloudmonster'],['(0)'],['Código: 72901711'],,,999.990,Running,
Tenis deportivos,Mujer,Normal,Tela,Reebok,Goma,Sintético,Toda temporada,Vietnam,Sintético,['Tenis Reebok Mujer Running Energen Tech Plus'],['4.8 (5)'],['Código: 63866828'],,,349.990,Running,
Tenis moda,Mujer,Normal,Cuero,Diadora,Caucho,Malla (nylon),Toda temporada,China,Malla (Nylon),['Tenis Diadora para Mujer Moda Bamtela2'],['5 (3)'],['Código: 883016836'],,,249.990,Lifestyle,
Tenis moda,Mujer,Normal,Sintético,Sybilla,Sintético,,Toda temporada,China,,['Tenis Moda Sybilla Begu Mujer'],['4.3 (121)'],['Código: 882431264'],99.990,,,,Sintético
Tenis,Hombre,Normal,Tela,Nike,Goma,Poliéster,Toda temporada,Indonesia,Poliéster,['Tenis Nike para Hombre Running Revolution7'],['(0)'],['Código: 72875577'],,,344.990,Running,
Tenis deportivos,Hombre,Normal,Tela,Adidas,Caucho,Textil,Toda temporada,Indonesia,Textil,['Tenis Adidas para Hombre Running Tenis Duramo Rc'],['4.7 (802)'],['Código: 72094059'],249.990,,,Running,
Tenis moda,Mujer,Normal,Sintético,Skechers,Goma,,Toda temporada,Vietnam,Poliéster,['Tenis Skechers para Mujer Moda Dluxfitness Brightba'],['4.8 (4)'],['Código: 72791563'],,,369.990,,Poliéster
Tenis moda,Mujer,Normal,Sintético,Skechers,Goma,,Toda temporada,Vietnam,,['Tenis moda Skechers Skech-Airdynamight Mujer'],['4.9 (24)'],['Código: 72837136'],,,269.990,,Poliéster
Tenis moda,Niño,Normal,Cuero,Reebok,Goma,Textil,Toda temporada,China,Textil,['Tenis Reebok Classic para Niño'],['(0)'],['Código: 72793527'],139.890,159.890,199.900,,
Tenis deportivos,Hombre,Normal,Tela,New Balance,Goma,Poliéster,Toda temporada,Vietnam,Textil,['Tenis New Balance para Hombre 411'],['(0)'],['Código: 72894170'],199.990,,,Lifestyle,
Tenis moda,Mujer,,Sintético,Diadora,Sintético,,Toda temporada,China,,['Tenis Diadora Mujer Moda Sildan'],['4.8 (38)'],['Código: 882763707'],,,239.990,,Sintético
Tenis deportivos,Hombre,Normal,Tela,Nike,Caucho,Sintético,Toda temporada,Indonesia,Sintético,['Tenis Nike Hombre Cross Training Legend Essential 3 Nn'],['4.6 (18)'],['Código: 56488706'],,,489.990,Cross training,
,Mujer,Normal,Sintético,,Pvc,Algodón,,,,['Calzado Casual Mujer Zapato Informal Dama Urbano'],['4.2 (54)'],['Código: 124316024'],,,,,
Tenis moda,Unisex,Normal,Tela,Reebok,Goma,Poliéster,Toda temporada,China,Poliéster,['Tenis Reebok Club C 85 Harry Potter Unisex | Tenis Harry Potter Reebok Hogwarts'],['(0)'],['Código: 72870168'],289.990,,,,
Tenis moda,Unisex,Normal,Sintético,Reebok,Goma,Poliéster,Toda temporada,China,Poliéster,['Tenis Reebok Classic Harry Potter Unisex | Tenis Harry Potter Reebok Slytherin'],['(0)'],['Código: 72870144'],289.990,,,,
Tenis moda,Niño,Normal,Cuero,Reebok,Goma,Textil,Toda temporada,China,Textil,['Tenis Reebok Classic para Niño'],['(0)'],['Código: 72793541'],139.890,159.890,199.900,,
Tenis moda,Niño,Normal,Sintético,Asics,Caucho,Poliéster,Toda temporada,Camboya,Poliéster,['Tenis Asics Gel Resolution 9 para Niño | Zapatillas Asics Gel Resolution 9 para Niño'],['5 (2)'],['Código: 72835914'],,,369.990,,
Tenis moda,Mujer,Normal,Cuero,Reebok,Goma,Sintético,Toda temporada,Vietnam,Sintético,['Tenis Reebok Mujer Moda Club C 85'],['4.8 (5)'],['Código: 72714000'],,,349.900,Lifestyle,
Tenis moda,Hombre,Normal,Sintético,Adidas,Caucho,Textil,Toda temporada,Indonesia,Textil,['Tenis Adidas para Hombre Moda Court'],['4.9 (7)'],['Código: 72824983'],179.990,209.990,299.990,,
,Hombre,,,,,,,,,['ZAPATILLA ADIDAS HOMBRE BLANCO GRAND COURT BASE 2.0 - GW9250'],['(0)'],['Código: 129078758'],242.929,266.955,299.950,Running,
Tenis moda,Hombre,Normal,Sintético,Diadora,Caucho,Malla (nylon),Toda temporada,China,Malla (Nylon),['Tenis Diadora para Hombre Moda James7'],['5 (2)'],['Código: 883015900'],,,159.990,Lifestyle,
Tenis moda,Unisex,Normal,Tela,Reebok,Goma,Poliéster,Toda temporada,China,Poliéster,['Tenis Reebok Club C 85 Harry Potter Unisex | Tenis Harry Potter Reebok Hogwarts'],['(0)'],['Código: 72870167'],289.990,,,,
Tenis moda,Niño,Normal,Cuero,Reebok,Goma,Textil,Toda temporada,China,Textil,['Tenis Reebok Classic para Niño'],['(0)'],['Código: 72793531'],139.890,159.890,199.900,,
Tenis moda,Hombre,Normal,Sintético,Diadora,Goma,Malla (nylon),Toda temporada,China,Malla (Nylon),['Tenis Diadora para Hombre Moda Nextgen'],['4.3 (8)'],['Código: 883016000'],,,179.990,Lifestyle,
,Hombre,Normal,Textil,,Caucho,Textil,,,,['Tenis Hombre Skechers Go Run Consistent Traceur - Gris - Blanco'],['5 (1)'],['Código: 118462971'],,,,Running,
Tenis moda,Hombre,Normal,Sintético,Newboat,Caucho,,Toda temporada,China,Sintético,['Tenis moda para Hombre Bentinino Newboat | Tenis de moda con suela blanca Newboat'],['5 (3)'],['Código: 882873801'],,,,,Sintético
,Mujer,,Textil,,Goma,,,,,['Tenis New Balance 430 V2 Mujer-Gris'],['4.5 (2)'],['Código: 124224027'],,,,Running,
Tenis deportivos,Mujer,Normal,Tela,Nike,Caucho,Poliéster,Toda temporada,Vietnam,Poliéster,['Tenis Nike Mujer Running Flex Expierence Rn 11'],['4.5 (153)'],['Código: 35785593'],,,369.950,Running,
,Mujer,Normal,Sintético,,Pvc,Algodón,,,,['Zapatos Casual Mujer Calsado Informail Dama'],['4.6 (20)'],['Código: 124316142'],,,,,
Tenis moda,Hombre,Normal,Tela,Adidas,Caucho,Textil,Toda temporada,China,Textil,['Tenis Adidas para Hombre Moda D-Pad'],['5 (9)'],['Código: 72889106'],329.990,384.990,549.990,Lifestyle,
Tenis moda,Mujer,Normal,Tela,Adidas,Caucho,Textil,Toda temporada,Indonesia,Poliéster,['Tenis Adidas para Mujer Tenis Racer TR23'],['4.8 (134)'],['Código: 72712491'],263.990,307.990,439.950,Lifestyle,
Tenis moda,Niño,Normal,Sintético,Skechers,Goma,,Toda temporada,China,,['Tenis Skechers Microspec-Quick Sprint Niño'],['4.8 (9)'],['Código: 62842124'],,,179.900,,Poliéster
Tenis moda,Mujer,Normal,Sintético,Skechers,Caucho,,Toda temporada,Vietnam,Poliéster,['Tenis Skechers para Mujer Moda Gorunsupersonic'],['4 (1)'],['Código: 72791525'],,,369.990,,Poliéster
Tenis deportivos,Hombre,Normal,Tela,Nike,Caucho,Sintético,Toda temporada,Vietnam,Sintético,['Tenis Nike Hombre Cross Training Renew Retaliation 4'],['4.8 (5)'],['Código: 56488644'],,,,Cross training,
Tenis moda,Mujer,Normal,Cuero,Skechers,Goma,,Toda temporada,Vietnam,Poliéster,['Tenis Skechers para Mujer Moda Dluxfitness Modestfl'],['4.8 (8)'],['Código: 72791587'],,,359.990,,Poliéster
Tenis,Hombre,Normal,Tela,Fratta,Sintético,Malla (nylon),Toda temporada,China,Malla (Nylon),['Tenis Fratta para Hombre Running Soroll'],['5 (2)'],['Código: 883014528'],,,129.990,Running,
Tenis moda,Mujer,Normal,Tela,Adidas,Caucho,Textil,Toda temporada,Indonesia,Textil,['Tenis Adidas Mujer Moda Alphaedge +'],['4.3 (3)'],['Código: 72712557'],227.990,265.990,379.990,Lifestyle,
Tenis deportivos,Mujer,Normal,Sintético,Nike,Goma,,Toda temporada,Vietnam,Poliéster,['Tenis Nike para Mujer Running Revolution 6 Nn'],['5 (1)'],['Código: 72784006'],251.990,287.990,359.950,Running,Poliéster
,Mujer,,Textil,,,,,,,['Tenis Mujer Reebok Dart Tr 2.0 - Morado-Blanco'],['4 (1)'],['Código: 124050289'],,,,Training,
