brand,type,gender,last_type,material,lining_material,sole_material,season,made_in,insole_material,Name,Rating,Code,CMR Price,Event Price,Full Price,discipline,interior_material,CMR Discount,Event Discount
Skechers,Tenis moda,Mujer,Normal,Sintético,Poliéster,Goma,Toda temporada,Vietnam,Poliéster,Tenis Skechers Mujer - Zapatos Skechers Dama. Tenis blancos cómodos Skechers para mujer. Zapatillas moda D'Luxfitness,4.9,Código: 70961994,215889.99999999997,251889.99999999997,359900.0,,,40.01,30.01
Diadora,Tenis moda,Mujer,Normal,Sintético,Sintético,Sintético,Toda temporada,China,,Tenis Diadora Mujer Moda Sildan2,4.0,Código: 882814798,149990.0,174990.0,249990.0,Lifestyle,,40.0,30.0
Adidas,Tenis moda,Mujer,Normal,Tela,Textil,Caucho,Toda temporada,Indonesia,,Tenis Adidas para Mujer Moda Lite Racer 3.0,4.8,Código: 25623763,,,329990.0,Lifestyle,,,
Fratta,Tenis,Hombre,Normal,Tela,Malla (nylon),Sintético,Toda temporada,China,Malla (Nylon),Tenis Fratta para Hombre Running Rollinarew,4.3,Código: 883014557,77990.0,90990.0,129990.0,Running,,40.0,30.0
Skechers,Tenis moda,Mujer,Normal,Sintético,Poliéster,Goma,Toda temporada,Vietnam,Poliéster,Tenis Skechers para Mujer Moda Ultraflex 3 Lets Dnc,5.0,Código: 72820794,191990.0,199990.0,319990.0,,,40.0,37.5
Skechers,Tenis deportivos,Mujer,Normal,Sintético,Sintético,Caucho,Toda temporada,China,,Tenis Skechers Mujer - Zapatos Skechers Dama. Tenis rosados cómodos Skechers para mujer. Zapatillas moda Cross training Go Run Elevate Quick Stride,4.9,Código: 61896433,191990.0,223990.0,319990.0,Cross training,,40.0,30.0
Nike,Tenis moda,Mujer,Normal,Cuero,Poliéster,Caucho,Toda temporada,China,Poliéster,Tenis Nike para Mujer Moda Nike Blazer Low '77 Jumbo | Zapatillas Nike para Mujer Blazer Low 77,,Código: 72833000,384990.0,439990.0,549990.0,,,30.0,20.0
Nike,Tenis moda,Mujer,Normal,Cuero,Poliéster,Caucho,Toda temporada,China,Poliéster,Tenis Nike para Mujer Moda Nike Blazer Low '77 | Zapatillas Nike para Mujer Blazer Low 77,,Código: 72832989,339490.0,387990.0,484950.0,,,29.99,19.99
New Balance,Tenis moda,Mujer,Normal,Sintético,Textil,Caucho,Toda temporada,Vietnam,Textil,Tenis moda New Balance 500 Mujer,4.4,Código: 66428890,209990.0,239990.0,299990.0,Lifestyle,,30.0,20.0
New Balance,Tenis moda,Mujer,Normal,Cuero,Textil,Caucho,Toda temporada,China,Textil,Tenis New Balance para Mujer Moda 550,,Código: 72802544,,,769990.0,,,,
Skechers,Tenis moda,Mujer,Normal,Sintético,Poliéster,Goma,Toda temporada,China,Poliéster,Tenis Skechers para Mujer Moda Go Walk Air 2.0,5.0,Código: 72778345,227889.99999999997,265889.99999999994,379900.0,,,40.01,30.01
Adidas,Tenis moda,Mujer,Normal,Sintético,Sintético,Caucho,Toda temporada,Vietnam,Sintético,Tenis Adidas para Mujer Moda Court Platform,4.7,Código: 72889168,,,359990.0,Lifestyle,,,
Nike,Tenis deportivos,Hombre,Normal,Tela,Sintético,Caucho,Toda temporada,Indonesia,Sintético,Tenis Nike Hombre Cross Training Legend Essential 3 Nn,4.6,Código: 56488706,,,489990.0,Cross training,,,
Adidas,Tenis moda,Hombre,Normal,Cuero,Textil,Caucho,Toda temporada,Vietnam,Textil,Tenis Adidas para Hombre Moda VL Court 3.0,4.8,Código: 72888871,,,329990.0,Lifestyle,,,
Skechers,Tenis moda,Mujer,Normal,Sintético,Poliéster,Goma,Toda temporada,Vietnam,,Tenis Skechers Mujer - Zapatos Skechers Dama. Tenis cómodos negro Skechers para mujer. Zapatillas moda Go Walk Glide,5.0,Código: 55996860,,,,,,,
Adidas,Tenis moda,Mujer,Normal,Tela,Textil,Caucho,Toda temporada,Indonesia,Textil,Tenis Adidas Mujer Moda Alphaedge +,4.3,Código: 72712557,265990.0,303990.0,379990.0,Lifestyle,,30.0,20.0
Reebok,Tenis moda,Mujer,Normal,Cuero,Sintético,Goma,Toda temporada,Vietnam,Sintético,Tenis Reebok Mujer Moda Club C 85,4.8,Código: 72714000,244889.99999999997,279889.99999999994,349900.0,Lifestyle,,30.01,20.01
Under Armour,Tenis,Hombre,Normal,Tela,Textil,Sintético,Toda temporada,Indonesia,Textil,Tenis Under Armour Mujer Running Charged Pursuit 3,4.7,Código: 42790421,251889.99999999997,287889.99999999994,359900.0,Running,,30.01,20.01
Sybilla,Tenis moda,Mujer,Normal,Sintético,Poliéster,Sintético,Toda temporada,China,Poliéster,Tenis Sybilla para Mujer Moda Bersynew,4.7,Código: 882994532,99990.0,,,Lifestyle,,,
Skechers,Tenis moda,Mujer,Normal,Sintético,Poliéster,Goma,Toda temporada,Vietnam,Poliéster,Tenis Skechers para Mujer Moda Ultra Flex 3 Cls Ch,4.7,Código: 72820757,191990.0,199990.0,319990.0,,,40.0,37.5
Fratta,Tenis deportivos,Hombre,Normal,Sintético,Sintético,Sintético,Toda temporada,China,,Tenis Fratta Hombre Running Zoenty,4.6,Código: 882678778,77990.0,90990.0,129990.0,Running,,40.0,30.0
Skechers,Tenis moda,Mujer,Normal,Sintético,Poliéster,Goma,Toda temporada,Vietnam,Poliéster,Tenis Skechers para Mujer Moda Ultra Flex 3 Cls Ch,5.0,Código: 72820771,191990.0,199990.0,319990.0,,,40.0,37.5
New Balance,Tenis deportivos,Hombre,Normal,Tela,Textil,Caucho,Toda temporada,Vietnam,Textil,Tenis New Balance Hombre Running 430,4.8,Código: 66428926,,,,Running,,,
Skechers,Tenis moda,Mujer,Normal,Sintético,,Goma,Toda temporada,Vietnam,Poliéster,Tenis Skechers para Mujer Moda Glide Stepswift Slig,5.0,Código: 72791650,233990.0,272990.0,389990.0,,Poliéster,40.0,30.0
Adidas,Tenis moda,Hombre,Normal,Cuero,Textil,Caucho,Toda temporada,Vietnam,Textil,Tenis Adidas para Hombre Moda VL Court 3.0,4.8,Código: 72888850,,,279990.0,Lifestyle,,,
Diadora,Tenis moda,Mujer,Normal,Sintético,Sintético,Sintético,Toda temporada,China,,Tenis Diadora Mujer Moda Salgreen3,4.8,Código: 882763705,,,,Lifestyle,,,
Newboat,Tenis moda,Hombre,Normal,Sintético,,Caucho,Toda temporada,China,Sintético,Tenis moda para Hombre Bentinino Newboat | Tenis de moda con suela blanca Newboat,5.0,Código: 882873801,,,,,Sintético,,
Reebok,Tenis deportivos,Mujer,Normal,Tela,Sintético,Goma,Toda temporada,Vietnam,Sintético,Tenis Reebok Mujer Running Floatride Energy 5,5.0,Código: 72714028,349890.0,399890.0,499900.0,Running,,30.01,20.01
Skechers,Tenis moda,Mujer,Normal,Sintético,,Goma,Toda temporada,Vietnam,Poliéster,Tenis Skechers para Mujer Moda Glide Stepswift Slig,4.8,Código: 72791641,233990.0,272990.0,389990.0,,Poliéster,40.0,30.0
Diadora,Tenis moda,Mujer,Normal,Sintético,Sintético,Sintético,Toda temporada,China,,Tenis Diadora Mujer Moda Sildan2,5.0,Código: 882814727,149990.0,174990.0,249990.0,Lifestyle,,40.0,30.0
New Balance,Tenis deportivos,Mujer,Normal,Tela,,Caucho,Toda temporada,Vietnam,,Tenis New Balance Mujer Running M1,4.5,Código: 62387933,368190.0,420790.00000000006,525990.0,Running,,30.0,20.0
New Balance,Tenis moda,Mujer,Normal,Cuero,Textil,Caucho,Toda temporada,China,,Tenis New Balance Mujer Moda 574,4.8,Código: 64218048,390590.0,446390.0,557990.0,,,30.0,20.0
Nike,Tenis moda,Hombre,Normal,Sintético,Sintético,Goma,Toda temporada,Indonesia,Sintético,Tenis Nike Hombre Moda Air Max SC,4.7,Código: 18841130,,,469950.0,Lifestyle,,,
Fratta,Tenis,Mujer,Normal,Tela,Poliéster,Goma,Toda temporada,China,Poliéster,Tenis Fratta para Mujer Running Sabi2,4.4,Código: 883014804,89990.0,104990.0,149990.0,Running,,40.0,30.0
Reebok,Tenis moda,Mujer,Normal,Cuero,Sintético,Goma,Toda temporada,Vietnam,Sintético,Tenis Reebok Mujer Moda Club C 85,4.9,Código: 72714007,244889.99999999997,279889.99999999994,349900.0,Lifestyle,,30.01,20.01
Adidas,Tenis moda,Mujer,Normal,Tela,Textil,Caucho,Toda temporada,Indonesia,Poliéster,Tenis Adidas para Mujer Tenis Racer TR23,4.8,Código: 72712491,351990.0,,,Lifestyle,,,
Skechers,Tenis moda,Mujer,Normal,Sintético,,Goma,Toda temporada,Vietnam,Poliéster,Tenis Skechers para Mujer Moda Dluxfitness Brightba,,Código: 72791570,221990.0,258990.0,369990.0,,Poliéster,40.0,30.0
Adidas,Tenis,Unisex,Normal,Tela,Textil,Caucho,Toda temporada,Indonesia,Textil,Tenis Adidas Unisex Running Response Runner,4.8,Código: 72864306,,,199990.0,Running,,,
Skechers,Tenis moda,Hombre,Normal,Sintético,Poliéster,Sintético,Toda temporada,China,Poliéster,Tenis Moda Skechers Summits Hombre,4.8,Código: 39304056,,,254990.0,,,,
Skechers,Tenis moda,Mujer,Normal,Cuero,,Goma,Toda temporada,Vietnam,Poliéster,Tenis Skechers para Mujer Moda Dluxfitness Modestfl,4.8,Código: 72791587,215990.0,251990.0,359990.0,,Poliéster,40.0,30.0
Adidas,Tenis deportivos,Mujer,Normal,Tela,Textil,Caucho,Toda temporada,Indonesia,Textil,Tenis Adidas para Mujer Running Duramo Speed,,Código: 72777226,405990.0,463990.0,579990.0,Running,,30.0,20.0
Diadora,Tenis deportivos,Hombre,Normal,Tela,,Goma,Toda temporada,Vietnam,Sintético,Tenis Diadora para Hombre Running Snipec | Zapatillas para hombre Diadora,4.8,Código: 882861332,131990.0,153990.0,219990.0,Running,Sintético,40.0,30.0
Skechers,Tenis moda,Mujer,Normal,Sintético,,Goma,Toda temporada,Vietnam,Poliéster,Tenis Skechers para Mujer Moda Dluxfitness Brightba,4.8,Código: 72791563,221990.0,258990.0,369990.0,,Poliéster,40.0,30.0
Fratta,Tenis deportivos,Hombre,Normal,Sintético,Sintético,Sintético,Toda temporada,China,,Tenis Fratta Hombre Running Vexel2,4.8,Código: 882758792,77990.0,90990.0,129990.0,Running,,40.0,30.0
Diadora,Tenis moda,Hombre,Normal,Cuero,Malla (nylon),Caucho,Toda temporada,China,Malla (Nylon),Tenis Diadora para Hombre Moda Bamtelo,5.0,Código: 883015932,,,229990.0,Lifestyle,,,
Skechers,Tenis moda,Mujer,Normal,Sintético,Poliéster,Goma,Toda temporada,China,Poliéster,Tenis Skechers para Mujer Moda Flexcomfort Freshene,5.0,Código: 72836663,,,299990.0,,,,
Adidas,Tenis,Mujer,Normal,Tela,Textil,Caucho,Toda temporada,Indonesia,Textil,Tenis Adidas para Mujer Running Duramo,4.7,Código: 72864275,,,299990.0,Running,,,
Diadora,Tenis moda,Hombre,Normal,Sintético,Malla (nylon),Caucho,Toda temporada,China,Malla (Nylon),Tenis Diadora para Hombre Moda James7,5.0,Código: 883015900,,,159990.0,Lifestyle,,,
Skechers,Tenis moda,Mujer,Normal,Sintético,Poliéster,Goma,Toda temporada,China,Poliéster,Tenis Skechers para Mujer Moda Summits,4.9,Código: 72807851,179990.0,199990.0,254900.0,,,29.39,21.54
Fratta,Tenis deportivos,Hombre,Normal,Sintético,,Sintético,Toda temporada,China,,Tenis Fratta Hombre Running Vexel2,4.6,Código: 882758873,77990.0,90990.0,129990.0,Running,Sintético,40.0,30.0
Under Armour,Tenis,Mujer,Normal,Tela,Textil,Sintético,Toda temporada,Vietnam,Textil,Tenis Under Armour para Mujer Running Phade RN 2 | Zapatillas Under Armour Phade RN 2,4.5,Código: 72763428,188990.0,215990.0,269990.0,Running,,30.0,20.0
Skechers,Tenis moda,Mujer,Normal,Sintético,,Goma,Toda temporada,Vietnam,Poliéster,Tenis Skechers para Mujer Moda Dluxfitness Brightba,5.0,Código: 72791554,221990.0,258990.0,369990.0,,Poliéster,40.0,30.0
Skechers,Tenis moda,Mujer,Normal,Sintético,Poliéster,Goma,Toda temporada,China,Poliéster,Tenis Skechers para Mujer Moda Summits Free Classics,,Código: 72890302,179990.0,199990.0,279900.0,Lifestyle,,35.69,28.55
Adidas,Tenis moda,Hombre,Normal,Tela,Textil,Caucho,Toda temporada,Indonesia,Textil,Tenis Adidas Hombre Moda Alphaedge +,5.0,Código: 72712583,,,419950.0,Lifestyle,,,
Diadora,Tenis moda,Mujer,,Sintético,,Sintético,Toda temporada,China,,Tenis Diadora Mujer Moda Sildan,4.8,Código: 882763707,143990.0,167990.0,239990.0,,Sintético,40.0,30.0
Fratta,Tenis,Mujer,Normal,Sintético,Poliéster,Goma,Toda temporada,China,Poliéster,Tenis Fratta para Mujer Running Sternum,4.7,Código: 883014798,89990.0,104990.0,149990.0,Running,,40.0,30.0
Reebok,Tenis deportivos,Mujer,Normal,Sintético,Sintético,Goma,Toda temporada,China,Textil,Tenis Deportivos Reebok para Mujer de Running Zig Dynamica,4.9,Código: 72790795,272990.0,311990.0,389990.0,Running,,30.0,20.0
Nike,Tenis moda,Niño,Normal,Sintético,Textil,Sintético,Toda temporada,Indonesia,Textil,Tenis Nike Air Max Sc Bpv Niño Velcro,4.7,Código: 54793540,279990.0,319990.0,399950.0,Lifestyle,,29.99,19.99
Adidas,Tenis moda,Mujer,Normal,Cuero,Textil,Caucho,Toda temporada,Vietnam,Textil,Tenis Adidas para Mujer Moda VL Court 3.0,4.8,Código: 72888897,,,329990.0,Lifestyle,,,
Bearcliff,Tenis moda,Hombre,Normal,Tela,,Goma,Toda temporada,China,,Tenis Moda Bearcliff Atrillon Hombre,4.6,Código: 882678628,79990.0,,,,Sintético,,
Nike,Tenis deportivos,Mujer,Normal,Tela,Textil,Caucho,Toda temporada,Vietnam,Textil,Tenis Nike para Mujer Running Downshifter 12,4.7,Código: 60558652,,,399950.0,Running,,,
Sybilla,Tenis moda,Mujer,Normal,Sintético,,Sintético,Toda temporada,China,,Tenis Moda Sybilla Begu Mujer,4.3,Código: 882431264,99990.0,,,,Sintético,,
Skechers,Tenis moda,Mujer,Normal,Sintético,Poliéster,Goma,Toda temporada,Vietnam,Poliéster,Tenis Skechers para Mujer Moda Skech Litepro Lightr,4.8,Código: 72806316,,,279990.0,,,,
Skechers,Tenis moda,Mujer,Normal,Sintético,,Goma,Toda temporada,Vietnam,,Tenis moda Skechers Skech-Airdynamight Mujer,4.9,Código: 72837136,,,269990.0,,Poliéster,,
Skechers,Tenis moda,Mujer,Normal,Cuero,,Goma,Toda temporada,Vietnam,Poliéster,Tenis Skechers para Mujer Moda Dluxfitness Modestfl,5.0,Código: 72791580,215990.0,251990.0,359990.0,,Poliéster,40.0,30.0
Adidas,Tenis deportivos,Hombre,Normal,Tela,Textil,Caucho,Toda temporada,Indonesia,Textil,Tenis Adidas para Hombre Running Tenis Duramo Rc,4.7,Código: 72094059,,,299990.0,Running,,,
Bearcliff,Tenis moda,Hombre,Normal,Sintético,Malla (nylon),Caucho,Toda temporada,China,Malla (Nylon),Tenis Bearcliff para Hombre Moda Acreta,4.5,Código: 883028998,,,139990.0,Lifestyle,,,
Fratta,Tenis,Hombre,Normal,Tela,Malla (nylon),Sintético,Toda temporada,China,Malla (Nylon),Tenis Fratta para Hombre Running Soroll,5.0,Código: 883014528,77990.0,90990.0,129990.0,Running,,40.0,30.0
Skechers,Tenis moda,Hombre,Normal,Sintético,Poliéster,Goma,Toda temporada,Vietnam,Poliéster,Tenis Skechers Hombre Moda Go Walk Glide,5.0,Código: 71008395,227990.0,265990.0,379990.0,,,40.0,30.0
Adidas,Tenis,Hombre,Normal,Tela,,Caucho,Toda temporada,Indonesia,Textil,Tenis Adidas para Hombre Running Duramo Speed | Tenis de Running Color Negro,4.8,Código: 72801627,,,539950.0,Running,Textil,,
Fratta,Tenis,Mujer,Normal,Tela,Poliéster,Goma,Toda temporada,China,Poliéster,Tenis Fratta para Mujer Running Sabi2,4.9,Código: 882814814,89990.0,104990.0,149990.0,Running,,40.0,30.0
Asics,Tenis moda,Mujer,Normal,Sintético,Poliéster,Caucho,Toda temporada,Camboya,Poliéster,Tenis Asics Mujer Moda Japan S,4.8,Código: 69745050,251990.0,287990.0,359990.0,,,30.0,20.0
Puma,Tenis,Hombre,Normal,Sintético,,Caucho,Toda temporada,China,Textil,Tenis Puma para Hombre Lifestyle Up,5.0,Código: 72794163,,,329900.0,Lifestyle,Textil,,
Skechers,Tenis moda,Hombre,Normal,Sintético,Poliéster,Goma,Toda temporada,Vietnam,Poliéster,Tenis Skechers para Hombre Moda Aircushioning Binson,5.0,Código: 72728668,179990.0,209990.0,299990.0,,,40.0,30.0
Nike,Tenis deportivos,Hombre,Normal,Tela,Poliéster,Caucho,Toda temporada,Vietnam,Poliéster,Tenis Nike para Hombre Running Revolution 7 | Zapatillas Nike Revolution 7,,Código: 72832942,,,344950.0,Running,,,
Fratta,Tenis,Hombre,Normal,Tela,Malla (nylon),Sintético,Toda temporada,China,Malla (Nylon),Tenis Fratta para Hombre Running Rollinarew,,Código: 882816245,77990.0,90990.0,129990.0,Running,,40.0,30.0
Adidas,Tenis moda,Mujer,Normal,Tela,Textil,Caucho,Toda temporada,Indonesia,Poliéster,Tenis Adidas para Mujer Tenis Racer TR23,4.8,Código: 72712485,,,,Lifestyle,,,
Diadora,Tenis moda,Hombre,Normal,Sintético,Malla (nylon),Goma,Toda temporada,China,Malla (Nylon),Tenis Diadora para Hombre Moda Nextgen,3.3,Código: 883016000,,,179990.0,Lifestyle,,,
Disney,Tenis moda,Mujer,Normal,Sintético,Poliéster,Goma,Toda temporada,China,Poliéster,Tenis Disney para Mujer Moda Becourtmin2,4.6,Código: 883029575,,,129990.0,Lifestyle,,,
Nike,Tenis moda,Mujer,Normal,Cuero,Sintético,Goma,Toda temporada,Vietnam,Sintético,Tenis Nike Mujer Moda Air Max System,4.8,Código: 70530288,377990.0,431990.0,539950.0,,,30.0,19.99
Skechers,Tenis moda,Mujer,Normal,Tela,Poliéster,Goma,Toda temporada,Vietnam,Poliéster,Tenis Skechers para Mujer Moda Flex Appeal 4.0 Brilliantvie,5.0,Código: 72738992,167990.0,195990.0,279990.0,,,40.0,30.0
Nike,Tenis deportivos,Mujer,Normal,Tela,Poliéster,Caucho,Toda temporada,Vietnam,Poliéster,Tenis Nike para Mujer Downshifter 12,,Código: 72890741,,,318990.0,Lifestyle,,,
Skechers,Tenis moda,Mujer,Normal,Sintético,Poliéster,Caucho,Toda temporada,China,Poliéster,Tenis Skechers para Mujer Dlites Arch Fit-Bett Tenis de Moda Skechers,4.9,Código: 72775081,233990.0,272990.0,389990.0,,,40.0,30.0
Adidas,Tenis deportivos,Mujer,Normal,Tela,Textil,Caucho,Toda temporada,Indonesia,Textil,Tenis Adidas para Mujer Running Tenis Duramo Rc,4.7,Código: 72094095,,,299990.0,Running,,,
Diadora,Tenis moda,Mujer,Normal,Cuero,Malla (nylon),Caucho,Toda temporada,China,Malla (Nylon),Tenis Diadora para Mujer Moda Bamtela2,5.0,Código: 883016836,,,249990.0,Lifestyle,,,
Diadora,Tenis deportivos,Hombre,Normal,Tela,,Goma,Toda temporada,Vietnam,Sintético,Tenis Diadora para Hombre Running Snipec | Zapatillas para hombre Diadora,4.7,Código: 882861233,131990.0,153990.0,219990.0,Running,Sintético,40.0,30.0
Nike,Tenis moda,Hombre,Normal,Cuero,Poliéster,Sintético,Toda temporada,Indonesia,Poliéster,Tenis Nike para Hombre Moda Air Max Sc,4.8,Código: 72875595,,,404990.0,Lifestyle,,,
Skechers,Tenis moda,Mujer,Normal,Cuero,Poliéster,Caucho,Toda temporada,China,Poliéster,Tenis Skechers para Mujer Moda Skech Aircourt Coola,4.9,Código: 72791596,255990.0,,,,,,
Reebok,Tenis deportivos,Mujer,Normal,Tela,Sintético,Goma,Toda temporada,Vietnam,Sintético,Tenis Reebok Mujer Running Energen Run 3,4.7,Código: 72714021,,,319900.0,Running,,,
Diadora,Tenis moda,Mujer,Normal,Sintético,Textil,Caucho,Toda temporada,China,Textil,Tenis Diadora para Mujer Moda Court7,4.1,Código: 883017076,,,149990.0,Lifestyle,,,
Adidas,Tenis moda,Mujer,Normal,Sintético,Sintético,Caucho,Toda temporada,Vietnam,,Tenis Adidas para Mujer Moda Court Platform,4.7,Código: 38212516,,,399990.0,Lifestyle,,,
Nike,Tenis,Mujer,Normal,Tela,Poliéster,Goma,Toda temporada,Indonesia,Poliéster,Tenis Nike para Mujer Cross Training Legend Essential3,,Código: 72875586,,,344990.0,Cross training,,,
Skechers,Tenis moda,Mujer,,Sintético,,Sintético,Toda temporada,China,,Tenis Skechers Mujer Moda Summits Cool Classic,5.0,Código: 23121286,,,279900.0,,Poliéster,,
Adidas,Tenis deportivos,Mujer,Normal,Tela,Textil,Caucho,Toda temporada,Vietnam,Textil,Tenis Adidas Mujer Cross training Everyset Trainer W,5.0,Código: 72712521,,,549990.0,Cross training,,,
Fratta,Tenis,Mujer,Normal,Sintético,Poliéster,Goma,Toda temporada,China,Poliéster,Tenis Fratta para Mujer Running Safirita,3.0,Código: 883014819,89990.0,104990.0,149990.0,Running,,40.0,30.0
Under Armour,Tenis,Mujer,Normal,Tela,Textil,Sintético,Toda temporada,Vietnam,Textil,Tenis Under Armour para Mujer Running Essential,5.0,Código: 72763339,202990.0,231990.0,289990.0,Running,,30.0,20.0
Adidas,Tenis deportivos,Mujer,Normal,Tela,Textil,Caucho,Toda temporada,Indonesia,Textil,Tenis Adidas Mujer Running Lite Racer 3.0,4.8,Código: 71786785,,,329990.0,Running,,,
Reebok,Tenis deportivos,Mujer,Normal,Tela,Sintético,Goma,Toda temporada,Vietnam,Sintético,Tenis Reebok Mujer Running Energen Tech Plus,4.8,Código: 63866828,244990.0,279990.0,349990.0,Running,,30.0,20.0
Skechers,Tenis moda,Mujer,Normal,Sintético,Poliéster,Goma,Toda temporada,Vietnam,Poliéster,Tenis Skechers para Mujer Moda Ultraflex 3 Lets Dnc,,Código: 72820778,191990.0,199990.0,319990.0,,,40.0,37.5
Adidas,Tenis moda,Hombre,Normal,Sintético,Textil,Caucho,Toda temporada,Indonesia,Textil,Tenis Adidas para Hombre Moda Court,4.9,Código: 72824983,,,299990.0,,,,
Adidas,Tenis moda,Unisex,Normal,Tela,Textil,Caucho,Toda temporada,Vietnam,Textil,Tenis Adidas Advantage Court Infantil Unisex,5.0,Código: 72833250,202990.0,231990.0,289950.0,,,29.99,19.99
Skechers,Tenis moda,Mujer,Normal,Sintético,,Goma,Toda temporada,China,Poliéster,Tenis Skechers para Mujer Moda Glide Stepswift Quic,2.0,Código: 72791624,251990.0,293990.0,419990.0,,Poliéster,40.0,30.0
Adidas,Tenis deportivos,Hombre,Normal,Tela,Textil,Caucho,Toda temporada,Indonesia,Textil,Tenis Adidas para Hombre Running Tenis Duramo Rc,4.7,Código: 72094065,,,299990.0,Running,,,
Skechers,Tenis,Mujer,Normal,Sintético,Poliéster,Goma,Toda temporada,Vietnam,Sintético,Tenis Skechers para Mujer Lifestyle Escapeplan Endlesspu,5.0,Código: 72806353,,,359990.0,Lifestyle,,,
Skechers,Tenis moda,Mujer,Normal,Sintético,Poliéster,Goma,Toda temporada,China,Poliéster,Tenis Skechers para Mujer Moda Go Run Glide Step Fl,5.0,Código: 72778379,227889.99999999997,265889.99999999994,379900.0,,,40.01,30.01
Skechers,Tenis moda,Mujer,Normal,Sintético,Poliéster,Goma,Toda temporada,Vietnam,Poliéster,Tenis Skechers para Mujer Moda Ultraflex 3 Lets Dnc,,Código: 72820788,191990.0,199990.0,319990.0,,,40.0,37.5
Under Armour,Tenis deportivos,Mujer,Normal,Tela,Textil,Goma,Toda temporada,Vietnam,Textil,Tenis Under Armour para Mujer Cross training Charged Aurora 2,5.0,Código: 72890697,,,329990.0,Cross training,,,
Nike,Tenis deportivos,Mujer,Normal,Sintético,,Goma,Toda temporada,Indonesia,Poliéster,Tenis Nike para Mujer Running Downshifter 12,5.0,Código: 72784039,,,374950.0,Running,Poliéster,,
Skechers,Tenis moda,Mujer,Normal,Sintético,Poliéster,Goma,Toda temporada,Vietnam,Poliéster,Tenis Skechers para Mujer Moda Ultra Flex 3 B Plan,5.0,Código: 72820753,191990.0,199990.0,319990.0,,,40.0,37.5
Adidas,Tenis deportivos,Hombre,Normal,Tela,Textil,Caucho,Toda temporada,Indonesia,Textil,Tenis Adidas para Hombre Running Tenis Duramo Rc,4.7,Código: 72094074,,,299990.0,Running,,,
Nike,Tenis moda,Mujer,Normal,Tela,Poliéster,Goma,Toda temporada,Indonesia,Poliéster,Tenis Nike para Mujer Moda Air Max intrlk lites,,Código: 72875540,,,464990.0,Lifestyle,,,
Converse,Tenis moda,Unisex,Grande,Tela,Textil,Caucho,Toda temporada,Vietnam,Textil,Tenis Converse Unisex Moda Chuck Taylor All Star Lift Platform,,Código: 72727827,279990.0,319990.0,399990.0,,,30.0,20.0
Nike,Tenis deportivos,Hombre,Normal,Tela,Poliéster,Caucho,Toda temporada,Vietnam,Poliéster,Tenis Nike para Hombre Downshifter 12,,Código: 72890749,,,318990.0,Lifestyle,,,
