brand,type,gender,last_type,material,lining_material,sole_material,season,made_in,insole_material,Name,Rating,Code,CMR Price,Event Price,Full Price,discipline,interior_material
Skechers,Tenis moda,Mujer,Normal,Sintético,,Goma,Toda temporada,Vietnam,Poliéster,['Tenis Skechers para Mujer Moda Glide Stepswift Slig'],['5 (1)'],['Código: 72791650'],233.990,272.990,389.990,,Poliéster
Adidas,Tenis moda,Hombre,Normal,Cuero,Textil,Caucho,Toda temporada,Vietnam,Textil,['Tenis Adidas para Hombre Moda VL Court 3.0'],['4.8 (72)'],['Código: 72888850'],,,279.990,Lifestyle,
Diadora,Tenis moda,Mujer,Normal,Sintético,Sintético,Sintético,Toda temporada,China,,['Tenis Diadora Mujer Moda Salgreen3'],['4.8 (5)'],['Código: 882763705'],,,,Lifestyle,
Newboat,Tenis moda,Hombre,Normal,Sintético,,Caucho,Toda temporada,China,Sintético,['Tenis moda para Hombre Bentinino Newboat | Tenis de moda con suela blanca Newboat'],['5 (3)'],['Código: 882873801'],,,,,Sintético
Reebok,Tenis deportivos,Mujer,Normal,Tela,Sintético,Goma,Toda temporada,Vietnam,Sintético,['Tenis Reebok Mujer Running Floatride Energy 5'],['5 (2)'],['Código: 72714028'],349.890,399.890,499.900,Running,
Skechers,Tenis moda,Mujer,Normal,Sintético,,Goma,Toda temporada,Vietnam,Poliéster,['Tenis Skechers para Mujer Moda Glide Stepswift Slig'],['4.8 (4)'],['Código: 72791641'],233.990,272.990,389.990,,Poliéster
Diadora,Tenis moda,Mujer,Normal,Sintético,Sintético,Sintético,Toda temporada,China,,['Tenis Diadora Mujer Moda Sildan2'],['5 (4)'],['Código: 882814727'],149.990,174.990,249.990,Lifestyle,
New Balance,Tenis deportivos,Mujer,Normal,Tela,,Caucho,Toda temporada,Vietnam,,['Tenis New Balance Mujer Running M1'],['4.5 (2)'],['Código: 62387933'],368.190,420.790,525.990,Running,
New Balance,Tenis moda,Mujer,Normal,Cuero,Textil,Caucho,Toda temporada,China,,['Tenis New Balance Mujer Moda 574'],['4.8 (74)'],['Código: 64218048'],390.590,446.390,557.990,,
Nike,Tenis moda,Hombre,Normal,Sintético,Sintético,Goma,Toda temporada,Indonesia,Sintético,['Tenis Nike Hombre Moda Air Max SC'],['4.7 (367)'],['Código: 18841130'],,,469.950,Lifestyle,
Fratta,Tenis,Mujer,Normal,Tela,Poliéster,Goma,Toda temporada,China,Poliéster,['Tenis Fratta para Mujer Running Sabi2'],['4.4 (19)'],['Código: 883014804'],89.990,104.990,149.990,Running,
Reebok,Tenis moda,Mujer,Normal,Cuero,Sintético,Goma,Toda temporada,Vietnam,Sintético,['Tenis Reebok Mujer Moda Club C 85'],['4.9 (22)'],['Código: 72714007'],244.890,279.890,349.900,Lifestyle,
Adidas,Tenis moda,Mujer,Normal,Tela,Textil,Caucho,Toda temporada,Indonesia,Poliéster,['Tenis Adidas para Mujer Tenis Racer TR23'],['4.8 (127)'],['Código: 72712491'],351.990,,,Lifestyle,
Skechers,Tenis moda,Mujer,Normal,Sintético,,Goma,Toda temporada,Vietnam,Poliéster,['Tenis Skechers para Mujer Moda Dluxfitness Brightba'],['(0)'],['Código: 72791570'],221.990,258.990,369.990,,Poliéster
Adidas,Tenis,Unisex,Normal,Tela,Textil,Caucho,Toda temporada,Indonesia,Textil,['Tenis Adidas Unisex Running Response Runner'],['4.8 (1331)'],['Código: 72864306'],,,199.990,Running,
Skechers,Tenis moda,Hombre,Normal,Sintético,Poliéster,Sintético,Toda temporada,China,Poliéster,['Tenis Moda Skechers Summits Hombre'],['4.8 (29)'],['Código: 39304056'],,,254.990,,
Skechers,Tenis moda,Mujer,Normal,Cuero,,Goma,Toda temporada,Vietnam,Poliéster,['Tenis Skechers para Mujer Moda Dluxfitness Modestfl'],['4.8 (8)'],['Código: 72791587'],215.990,251.990,359.990,,Poliéster
Adidas,Tenis deportivos,Mujer,Normal,Tela,Textil,Caucho,Toda temporada,Indonesia,Textil,['Tenis Adidas para Mujer Running Duramo Speed'],['(0)'],['Código: 72777226'],405.990,463.990,579.990,Running,
Diadora,Tenis deportivos,Hombre,Normal,Tela,,Goma,Toda temporada,Vietnam,Sintético,['Tenis Diadora para Hombre Running Snipec | Zapatillas para hombre Diadora'],['4.8 (4)'],['Código: 882861332'],131.990,153.990,219.990,Running,Sintético
Skechers,Tenis moda,Mujer,Normal,Sintético,,Goma,Toda temporada,Vietnam,Poliéster,['Tenis Skechers para Mujer Moda Dluxfitness Brightba'],['4.8 (4)'],['Código: 72791563'],221.990,258.990,369.990,,Poliéster
Fratta,Tenis deportivos,Hombre,Normal,Sintético,Sintético,Sintético,Toda temporada,China,,['Tenis Fratta Hombre Running Vexel2'],['4.8 (13)'],['Código: 882758792'],77.990,90.990,129.990,Running,
Diadora,Tenis moda,Hombre,Normal,Cuero,Malla (nylon),Caucho,Toda temporada,China,Malla (Nylon),['Tenis Diadora para Hombre Moda Bamtelo'],['5 (1)'],['Código: 883015932'],,,229.990,Lifestyle,
Skechers,Tenis moda,Mujer,Normal,Sintético,Poliéster,Goma,Toda temporada,China,Poliéster,['Tenis Skechers para Mujer Moda Flexcomfort Freshene'],['5 (1)'],['Código: 72836663'],,,299.990,,
Adidas,Tenis,Mujer,Normal,Tela,Textil,Caucho,Toda temporada,Indonesia,Textil,['Tenis Adidas para Mujer Running Duramo'],['4.7 (316)'],['Código: 72864275'],,,299.990,Running,
Diadora,Tenis moda,Hombre,Normal,Sintético,Malla (nylon),Caucho,Toda temporada,China,Malla (Nylon),['Tenis Diadora para Hombre Moda James7'],['5 (2)'],['Código: 883015900'],,,159.990,Lifestyle,
Skechers,Tenis moda,Mujer,Normal,Sintético,Poliéster,Goma,Toda temporada,China,Poliéster,['Tenis Skechers para Mujer Moda Summits'],['4.9 (32)'],['Código: 72807851'],179.990,199.990,254.900,,
Fratta,Tenis deportivos,Hombre,Normal,Sintético,,Sintético,Toda temporada,China,,['Tenis Fratta Hombre Running Vexel2'],['4.6 (152)'],['Código: 882758873'],77.990,90.990,129.990,Running,Sintético
Under Armour,Tenis,Mujer,Normal,Tela,Textil,Sintético,Toda temporada,Vietnam,Textil,['Tenis Under Armour para Mujer Running Phade RN 2 | Zapatillas Under Armour Phade RN 2'],['4.5 (10)'],['Código: 72763428'],188.990,215.990,269.990,Running,
Skechers,Tenis moda,Mujer,Normal,Sintético,,Goma,Toda temporada,Vietnam,Poliéster,['Tenis Skechers para Mujer Moda Dluxfitness Brightba'],['5 (2)'],['Código: 72791554'],221.990,258.990,369.990,,Poliéster
Skechers,Tenis moda,Mujer,Normal,Sintético,Poliéster,Goma,Toda temporada,China,Poliéster,['Tenis Skechers para Mujer Moda Summits Free Classics'],['(0)'],['Código: 72890302'],179.990,199.990,279.900,Lifestyle,
Adidas,Tenis moda,Hombre,Normal,Tela,Textil,Caucho,Toda temporada,Indonesia,Textil,['Tenis Adidas Hombre Moda Alphaedge +'],['5 (18)'],['Código: 72712583'],,,419.950,Lifestyle,
Diadora,Tenis moda,Mujer,,Sintético,,Sintético,Toda temporada,China,,['Tenis Diadora Mujer Moda Sildan'],['4.8 (18)'],['Código: 882763707'],143.990,167.990,239.990,,Sintético
Fratta,Tenis,Mujer,Normal,Sintético,Poliéster,Goma,Toda temporada,China,Poliéster,['Tenis Fratta para Mujer Running Sternum'],['4.7 (3)'],['Código: 883014798'],89.990,104.990,149.990,Running,
Reebok,Tenis deportivos,Mujer,Normal,Sintético,Sintético,Goma,Toda temporada,China,Textil,['Tenis Deportivos Reebok para Mujer de Running Zig Dynamica'],['4.9 (7)'],['Código: 72790795'],272.990,311.990,389.990,Running,
Nike,Tenis moda,Niño,Normal,Sintético,Textil,Sintético,Toda temporada,Indonesia,Textil,['Tenis Nike Air Max Sc Bpv Niño Velcro'],['4.7 (6)'],['Código: 54793540'],279.990,319.990,399.950,Lifestyle,
Adidas,Tenis moda,Mujer,Normal,Cuero,Textil,Caucho,Toda temporada,Vietnam,Textil,['Tenis Adidas para Mujer Moda VL Court 3.0'],['4.8 (53)'],['Código: 72888897'],,,329.990,Lifestyle,
Bearcliff,Tenis moda,Hombre,Normal,Tela,,Goma,Toda temporada,China,,['Tenis Moda Bearcliff Atrillon Hombre'],['4.6 (126)'],['Código: 882678628'],79.990,,,,Sintético
Nike,Tenis deportivos,Mujer,Normal,Tela,Textil,Caucho,Toda temporada,Vietnam,Textil,['Tenis Nike para Mujer Running Downshifter 12'],['4.7 (88)'],['Código: 60558652'],,,399.950,Running,
Sybilla,Tenis moda,Mujer,Normal,Sintético,,Sintético,Toda temporada,China,,['Tenis Moda Sybilla Begu Mujer'],['4.3 (119)'],['Código: 882431264'],99.990,,,,Sintético
Skechers,Tenis moda,Mujer,Normal,Sintético,Poliéster,Goma,Toda temporada,Vietnam,Poliéster,['Tenis Skechers para Mujer Moda Skech Litepro Lightr'],['4.8 (10)'],['Código: 72806316'],,,279.990,,
Skechers,Tenis moda,Mujer,Normal,Sintético,,Goma,Toda temporada,Vietnam,,['Tenis moda Skechers Skech-Airdynamight Mujer'],['4.9 (24)'],['Código: 72837136'],,,269.990,,Poliéster
Skechers,Tenis moda,Mujer,Normal,Cuero,,Goma,Toda temporada,Vietnam,Poliéster,['Tenis Skechers para Mujer Moda Dluxfitness Modestfl'],['5 (3)'],['Código: 72791580'],215.990,251.990,359.990,,Poliéster
Adidas,Tenis deportivos,Hombre,Normal,Tela,Textil,Caucho,Toda temporada,Indonesia,Textil,['Tenis Adidas para Hombre Running Tenis Duramo Rc'],['4.7 (774)'],['Código: 72094059'],,,299.990,Running,
Bearcliff,Tenis moda,Hombre,Normal,Sintético,Malla (nylon),Caucho,Toda temporada,China,Malla (Nylon),['Tenis Bearcliff para Hombre Moda Acreta'],['4.5 (2)'],['Código: 883028998'],,,139.990,Lifestyle,
Fratta,Tenis,Hombre,Normal,Tela,Malla (nylon),Sintético,Toda temporada,China,Malla (Nylon),['Tenis Fratta para Hombre Running Soroll'],['5 (2)'],['Código: 883014528'],77.990,90.990,129.990,Running,
Skechers,Tenis moda,Hombre,Normal,Sintético,Poliéster,Goma,Toda temporada,Vietnam,Poliéster,['Tenis Skechers Hombre Moda Go Walk Glide'],['5 (1)'],['Código: 71008395'],227.990,265.990,379.990,,
Adidas,Tenis,Hombre,Normal,Tela,,Caucho,Toda temporada,Indonesia,Textil,['Tenis Adidas para Hombre Running Duramo Speed | Tenis de Running Color Negro'],['4.8 (212)'],['Código: 72801627'],,,539.950,Running,Textil
Fratta,Tenis,Mujer,Normal,Tela,Poliéster,Goma,Toda temporada,China,Poliéster,['Tenis Fratta para Mujer Running Sabi2'],['4.9 (10)'],['Código: 882814814'],89.990,104.990,149.990,Running,
Asics,Tenis moda,Mujer,Normal,Sintético,Poliéster,Caucho,Toda temporada,Camboya,Poliéster,['Tenis Asics Mujer Moda Japan S'],['4.8 (80)'],['Código: 69745050'],251.990,287.990,359.990,,
Puma,Tenis,Hombre,Normal,Sintético,,Caucho,Toda temporada,China,Textil,['Tenis Puma para Hombre Lifestyle Up'],['5 (8)'],['Código: 72794163'],,,329.900,Lifestyle,Textil
Skechers,Tenis moda,Hombre,Normal,Sintético,Poliéster,Goma,Toda temporada,Vietnam,Poliéster,['Tenis Skechers para Hombre Moda Aircushioning Binson'],['5 (2)'],['Código: 72728668'],179.990,209.990,299.990,,
Nike,Tenis deportivos,Hombre,Normal,Tela,Poliéster,Caucho,Toda temporada,Vietnam,Poliéster,['Tenis Nike para Hombre Running Revolution 7 | Zapatillas Nike Revolution 7'],['(0)'],['Código: 72832942'],,,344.950,Running,
Fratta,Tenis,Hombre,Normal,Tela,Malla (nylon),Sintético,Toda temporada,China,Malla (Nylon),['Tenis Fratta para Hombre Running Rollinarew'],['(0)'],['Código: 882816245'],77.990,90.990,129.990,Running,
Adidas,Tenis moda,Mujer,Normal,Tela,Textil,Caucho,Toda temporada,Indonesia,Poliéster,['Tenis Adidas para Mujer Tenis Racer TR23'],['4.8 (30)'],['Código: 72712485'],,,,Lifestyle,
Diadora,Tenis moda,Hombre,Normal,Sintético,Malla (nylon),Goma,Toda temporada,China,Malla (Nylon),['Tenis Diadora para Hombre Moda Nextgen'],['3.3 (3)'],['Código: 883016000'],,,179.990,Lifestyle,
Disney,Tenis moda,Mujer,Normal,Sintético,Poliéster,Goma,Toda temporada,China,Poliéster,['Tenis Disney para Mujer Moda Becourtmin2'],['4.6 (8)'],['Código: 883029575'],,,129.990,Lifestyle,
Nike,Tenis moda,Mujer,Normal,Cuero,Sintético,Goma,Toda temporada,Vietnam,Sintético,['Tenis Nike Mujer Moda Air Max System'],['4.8 (24)'],['Código: 70530288'],377.990,431.990,539.950,,
Skechers,Tenis moda,Mujer,Normal,Tela,Poliéster,Goma,Toda temporada,Vietnam,Poliéster,['Tenis Skechers para Mujer Moda Flex Appeal 4.0 Brilliantvie'],['5 (12)'],['Código: 72738992'],167.990,195.990,279.990,,
Nike,Tenis deportivos,Mujer,Normal,Tela,Poliéster,Caucho,Toda temporada,Vietnam,Poliéster,['Tenis Nike para Mujer Downshifter 12'],['(0)'],['Código: 72890741'],,,318.990,Lifestyle,
Skechers,Tenis moda,Mujer,Normal,Sintético,Poliéster,Caucho,Toda temporada,China,Poliéster,['Tenis Skechers para Mujer Dlites Arch Fit-Bett Tenis de Moda Skechers'],['4.9 (8)'],['Código: 72775081'],233.990,272.990,389.990,,
Adidas,Tenis deportivos,Mujer,Normal,Tela,Textil,Caucho,Toda temporada,Indonesia,Textil,['Tenis Adidas para Mujer Running Tenis Duramo Rc'],['4.7 (438)'],['Código: 72094095'],,,299.990,Running,
Diadora,Tenis moda,Mujer,Normal,Cuero,Malla (nylon),Caucho,Toda temporada,China,Malla (Nylon),['Tenis Diadora para Mujer Moda Bamtela2'],['5 (11)'],['Código: 883016836'],,,249.990,Lifestyle,
Diadora,Tenis deportivos,Hombre,Normal,Tela,,Goma,Toda temporada,Vietnam,Sintético,['Tenis Diadora para Hombre Running Snipec | Zapatillas para hombre Diadora'],['4.7 (21)'],['Código: 882861233'],131.990,153.990,219.990,Running,Sintético
Nike,Tenis moda,Hombre,Normal,Cuero,Poliéster,Sintético,Toda temporada,Indonesia,Poliéster,['Tenis Nike para Hombre Moda Air Max Sc'],['4.8 (5)'],['Código: 72875595'],,,404.990,Lifestyle,
Skechers,Tenis moda,Mujer,Normal,Cuero,Poliéster,Caucho,Toda temporada,China,Poliéster,['Tenis Skechers para Mujer Moda Skech Aircourt Coola'],['4.9 (13)'],['Código: 72791596'],255.990,,,,
Reebok,Tenis deportivos,Mujer,Normal,Tela,Sintético,Goma,Toda temporada,Vietnam,Sintético,['Tenis Reebok Mujer Running Energen Run 3'],['4.7 (16)'],['Código: 72714021'],,,319.900,Running,
Diadora,Tenis moda,Mujer,Normal,Sintético,Textil,Caucho,Toda temporada,China,Textil,['Tenis Diadora para Mujer Moda Court7'],['4.1 (8)'],['Código: 883017076'],,,149.990,Lifestyle,
Adidas,Tenis moda,Mujer,Normal,Sintético,Sintético,Caucho,Toda temporada,Vietnam,,['Tenis Adidas para Mujer Moda Court Platform'],['4.7 (424)'],['Código: 38212516'],,,399.990,Lifestyle,
Nike,Tenis,Mujer,Normal,Tela,Poliéster,Goma,Toda temporada,Indonesia,Poliéster,['Tenis Nike para Mujer Cross Training Legend Essential3'],['(0)'],['Código: 72875586'],,,344.990,Cross training,
Skechers,Tenis moda,Mujer,,Sintético,,Sintético,Toda temporada,China,,['Tenis Skechers Mujer Moda Summits Cool Classic'],['5 (7)'],['Código: 23121286'],,,279.900,,Poliéster
Adidas,Tenis deportivos,Mujer,Normal,Tela,Textil,Caucho,Toda temporada,Vietnam,Textil,['Tenis Adidas Mujer Cross training Everyset Trainer W'],['5 (8)'],['Código: 72712521'],,,549.990,Cross training,
Fratta,Tenis,Mujer,Normal,Sintético,Poliéster,Goma,Toda temporada,China,Poliéster,['Tenis Fratta para Mujer Running Safirita'],['3 (2)'],['Código: 883014819'],89.990,104.990,149.990,Running,
Under Armour,Tenis,Mujer,Normal,Tela,Textil,Sintético,Toda temporada,Vietnam,Textil,['Tenis Under Armour para Mujer Running Essential'],['5 (18)'],['Código: 72763339'],202.990,231.990,289.990,Running,
Adidas,Tenis deportivos,Mujer,Normal,Tela,Textil,Caucho,Toda temporada,Indonesia,Textil,['Tenis Adidas Mujer Running Lite Racer 3.0'],['4.8 (226)'],['Código: 71786785'],,,329.990,Running,
Reebok,Tenis deportivos,Mujer,Normal,Tela,Sintético,Goma,Toda temporada,Vietnam,Sintético,['Tenis Reebok Mujer Running Energen Tech Plus'],['4.8 (4)'],['Código: 63866828'],244.990,279.990,349.990,Running,
Skechers,Tenis moda,Mujer,Normal,Sintético,Poliéster,Goma,Toda temporada,Vietnam,Poliéster,['Tenis Skechers para Mujer Moda Ultraflex 3 Lets Dnc'],['(0)'],['Código: 72820778'],191.990,199.990,319.990,,
Adidas,Tenis moda,Hombre,Normal,Sintético,Textil,Caucho,Toda temporada,Indonesia,Textil,['Tenis Adidas para Hombre Moda Court'],['4.9 (7)'],['Código: 72824983'],,,299.990,,
Adidas,Tenis moda,Unisex,Normal,Tela,Textil,Caucho,Toda temporada,Vietnam,Textil,['Tenis Adidas Advantage Court Infantil Unisex'],['5 (3)'],['Código: 72833250'],202.990,231.990,289.950,,
Skechers,Tenis moda,Mujer,Normal,Sintético,,Goma,Toda temporada,China,Poliéster,['Tenis Skechers para Mujer Moda Glide Stepswift Quic'],['2 (2)'],['Código: 72791624'],251.990,293.990,419.990,,Poliéster
Adidas,Tenis deportivos,Hombre,Normal,Tela,Textil,Caucho,Toda temporada,Indonesia,Textil,['Tenis Adidas para Hombre Running Tenis Duramo Rc'],['4.7 (587)'],['Código: 72094065'],,,299.990,Running,
Skechers,Tenis,Mujer,Normal,Sintético,Poliéster,Goma,Toda temporada,Vietnam,Sintético,['Tenis Skechers para Mujer Lifestyle Escapeplan Endlesspu'],['5 (4)'],['Código: 72806353'],,,359.990,Lifestyle,
Skechers,Tenis moda,Mujer,Normal,Sintético,Poliéster,Goma,Toda temporada,China,Poliéster,['Tenis Skechers para Mujer Moda Go Run Glide Step Fl'],['5 (5)'],['Código: 72778379'],227.890,265.890,379.900,,
Skechers,Tenis moda,Mujer,Normal,Sintético,Poliéster,Goma,Toda temporada,Vietnam,Poliéster,['Tenis Skechers para Mujer Moda Ultraflex 3 Lets Dnc'],['(0)'],['Código: 72820788'],191.990,199.990,319.990,,
Under Armour,Tenis deportivos,Mujer,Normal,Tela,Textil,Goma,Toda temporada,Vietnam,Textil,['Tenis Under Armour para Mujer Cross training Charged Aurora 2'],['5 (1)'],['Código: 72890697'],,,329.990,Cross training,
Nike,Tenis deportivos,Mujer,Normal,Sintético,,Goma,Toda temporada,Indonesia,Poliéster,['Tenis Nike para Mujer Running Downshifter 12'],['5 (2)'],['Código: 72784039'],,,374.950,Running,Poliéster
Skechers,Tenis moda,Mujer,Normal,Sintético,Poliéster,Goma,Toda temporada,Vietnam,Poliéster,['Tenis Skechers para Mujer Moda Ultra Flex 3 B Plan'],['5 (2)'],['Código: 72820753'],191.990,199.990,319.990,,
Adidas,Tenis deportivos,Hombre,Normal,Tela,Textil,Caucho,Toda temporada,Indonesia,Textil,['Tenis Adidas para Hombre Running Tenis Duramo Rc'],['4.7 (755)'],['Código: 72094074'],,,299.990,Running,
Nike,Tenis moda,Mujer,Normal,Tela,Poliéster,Goma,Toda temporada,Indonesia,Poliéster,['Tenis Nike para Mujer Moda Air Max intrlk lites'],['(0)'],['Código: 72875540'],,,464.990,Lifestyle,
Converse,Tenis moda,Unisex,Grande,Tela,Textil,Caucho,Toda temporada,Vietnam,Textil,['Tenis Converse Unisex Moda Chuck Taylor All Star Lift Platform'],['(0)'],['Código: 72727827'],279.990,319.990,399.990,,
